dataset,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.1,,,,9,0.7378442141819074,0.6367855436045146,0.8208191624121023,0.5440051997810618,0.5241670907230866,0.5637725721705501,0.4202538094120445,0.40421666839950743,0.43889323060846036,0.4242545522283065,0.4124182316254073,0.4389662840017242,22.0
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.2,,,,9,0.6870939735386822,0.6088827128109289,0.7677166272607129,0.5224124247400109,0.5107823787577918,0.5378368701923665,0.44059328198146425,0.42312655894857215,0.4542818172938593,0.4400763841825486,0.42295401169383917,0.45481965126639434,22.0
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.3,,,,9,0.6495745805258291,0.5834635471427654,0.7324736879274272,0.5149740010946908,0.5084852066836143,0.527820197044335,0.451725964963986,0.44051318378468485,0.4636514711775431,0.4504325289508023,0.4414316447810239,0.4636924964048805,22.0
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.5,,,,9,0.622077836287111,0.5682261035790686,0.681722179611424,0.5100328407224959,0.5046714736113092,0.5145034912200737,0.461937202248977,0.45530787355918917,0.47287042401992496,0.4589401446915725,0.4491923655061764,0.470217015948619,22.0
BNCI2014-001,csp_lda,clean,all_channels,0.0,,,,9,0.8523469792197497,0.7377415628757882,0.9285349307331627,0.7913108921729611,0.6944419899996358,0.8733829385733614,0.13665328518015402,0.08579320168317656,0.1914351020033989,0.11937846067500561,0.08409187276069374,0.150616344052764,22.0
BNCI2014-001,csp_lda,cross_session,all_channels,0.0,,0train,1test,9,0.8529878257887517,0.7407407407407407,0.9334256867857422,0.7569444444444444,0.6604344534878879,0.8525573027533083,0.16676668627927746,0.10639701332327987,0.22336822670399126,0.1604615685326916,0.11029295326757003,0.19586611386575084,22.0
BNCI2014-001,csp_lda,reduced_montage,motor_core,0.0,,,,9,0.7545354170205537,0.640732030880296,0.8544716656736813,0.7005473453749316,0.6110048525650741,0.7939691578008924,0.1810118306833001,0.13126552360808075,0.2182946674903671,0.1109003755435855,0.092460913344981,0.12752326967862657,3.0
BNCI2014-001,csp_lda,reduced_montage,motor_extended,0.0,,,,9,0.8013928996093086,0.6744407478907293,0.8987324387197817,0.7453065134099617,0.6383961653589161,0.8434006207077999,0.15770613693782465,0.09777077244227818,0.20716602286203212,0.11948369569926148,0.08882896931766592,0.14432586463142652,9.0
BNCI2014-001,csp_lda,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,9,0.7655719759168035,0.619456954771843,0.8675746865793061,0.5868226600985222,0.5333192913430966,0.6532449285263578,0.3602357439242627,0.28427718134355295,0.42654573676522944,0.3711338933262104,0.30285820644068473,0.432368978437192,22.0
BNCI2014-001,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,9,0.7061425362852235,0.6118015619183168,0.7846903688240803,0.53851943076081,0.504255610290093,0.6376683721998987,0.4229849834875732,0.3104232029577258,0.4646837611348681,0.42082422948045867,0.31489252294623743,0.46218216670812196,22.0
BNCI2014-001,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,9,0.671021837193062,0.5851154984769282,0.7729437928885332,0.5094280240831964,0.5005610290093049,0.5289066672782579,0.45935434104398115,0.4317140920271991,0.48214154225399036,0.45594051108306655,0.4237840186876597,0.4818647257497483,22.0
