dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,protocol_version,mask_seed_scope,selected_channels,region,dropped_channels,session_train,session_test,run_signature
BNCI2014-001,1,csp_lda,clean,all_channels,1,0.0,0,22,0,0.8103448275862069,0.9191438763376932,0.1259120156732472,0.1435186174418562,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.8846611177170036,0.4985263737407883,0.4992247016134539,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.8275862068965517,0.8953626634958384,0.13156790584377248,0.11217428501962726,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.7574316290130797,0.49999994428087013,0.49999997005380264,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.8299643281807372,0.49599516193224785,0.49794044141885174,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5,0.7502972651605232,0.4999999943009761,0.499999997053198,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.5,0.8275862068965517,0.47383322186175036,0.4852112727766854,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.5,0.6884661117717004,0.4992533103787312,0.49957307472530976,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5172413793103449,0.8370986920332937,0.4282422898647259,0.4514232740346167,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.7931034482758621,0.8977407847800238,0.14734364177333062,0.13899087628347093,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5,0.7407847800237812,0.41737043723970013,0.4330953223741897,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5172413793103449,0.7514863258026159,0.40741654550441714,0.42963654458562806,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.6724137931034482,0.760998810939358,0.19411182549091333,0.0600138418283079,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.6206896551724138,0.727705112960761,0.28942118537991496,0.29651904631539006,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.7110582639714625,0.36394884547944123,0.37016073878433703,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.7205707491082044,0.49951256653313064,0.4996920982719517,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.7467300832342451,0.49600634108459507,0.49710908494303085,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.5,0.7312722948870393,0.4413626675674093,0.45272929604381423,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5,0.7526753864447087,0.4988001828422507,0.4992552206141441,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.7086801426872771,0.499791285346517,0.49988058298555305,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.7086801426872771,0.4998720097066237,0.499926713996904,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.6575505350772889,0.43641228351533345,0.4429740683812092,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.732461355529132,0.4973450554297576,0.49818429649003015,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,2,22,7,0.5,0.7764565992865635,0.49392349767710825,0.4959220667525761,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,3,22,7,0.5172413793103449,0.7288941736028537,0.3156905898926444,0.3086640715477935,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.807372175980975,0.49449867153878924,0.496064184346565,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,5,22,7,0.5689655172413793,0.7288941736028538,0.2668562662201901,0.2217587765469093,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,6,22,7,0.6206896551724138,0.6076099881093935,0.27262418834004015,0.21247528808691987,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,7,22,7,0.5,0.7146254458977408,0.4999999876832479,0.4999999908435546,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,8,22,7,0.5,0.6313912009512485,0.49865301858366223,0.49904575010772895,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.6848989298454221,0.4999988112143704,0.49999902823297965,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.8489892984542211,0.4991469568456763,0.49948793535680497,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.7812128418549346,0.49898093531118926,0.49926758830180507,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,2,22,11,0.6724137931034482,0.7384066587395957,0.2149821928355407,0.13092956538773923,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,3,22,11,0.6206896551724138,0.8929845422116528,0.26847950803419857,0.29958805762315105,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.6183115338882283,0.4999971111395109,0.49999799804597866,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.7098692033293698,0.4988927744909018,0.4991731898205162,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.6504161712247325,0.476192771496774,0.4797375387061461,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
