condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.1,brier_score,calibration,9,0.2836005242318905,0.22967178486377243,0.3375292636000086,0.291737412523731,0.23311981565499867,0.31437670765336323,4.042272508051213,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.2,brier_score,calibration,9,0.30393999680131034,0.2377556963212808,0.3701242972813399,0.31254676833420914,0.23798948540051357,0.3437938468329468,3.5299755601367946,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.3,brier_score,calibration,9,0.3150726797838319,0.25498934349326985,0.37515601607439397,0.3340360515540272,0.2630797101328611,0.3522259788890425,4.030839759839272,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.5,brier_score,calibration,9,0.325283917068823,0.25907610443066265,0.3914917297069833,0.3497146462594109,0.26564657726972096,0.35551075449508207,3.7765233839073864,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
cross_session_0,brier_score,calibration,9,0.03011340109912344,0.00013849532018861757,0.06008830687805826,0.02871617386839026,0.013131537975100901,0.05934639184178289,0.7722195800688849,medium,8,0.8888888888888888,1,0.1111111111111111,0.043402777777777776,descriptive_or_not_fdr_significant
reduced_montage_motor_core,brier_score,calibration,9,0.04435854550314611,0.014255838772340122,0.07446125223395209,0.049707995984724695,0.023531452244525006,0.0528852006988568,1.1326887232725853,large,8,0.8888888888888888,1,0.1111111111111111,0.043402777777777776,fdr_significant_ttest
reduced_montage_motor_extended,brier_score,calibration,9,0.021052851757670663,-0.002476037072536571,0.044581740587877894,0.01044223032060379,0.006914568143557065,0.022369334721895298,0.6877780978292696,medium,8,0.8888888888888888,1,0.1111111111111111,0.043402777777777776,non_normal_delta_check_wilcoxon
region_dropout_left_motor_strip_0.318182,brier_score,calibration,9,0.2863316983074192,0.18053448512339007,0.39212891149144835,0.29042088121361986,0.1975481511973547,0.3963483822575949,2.0803386039681135,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
region_dropout_midline_motor_strip_0.136364,brier_score,calibration,9,0.22358245874410873,0.16423797061277268,0.2829269468754448,0.22328927421772526,0.1850583837242507,0.2703224590101094,2.895984056581567,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
region_dropout_right_motor_strip_0.318182,brier_score,calibration,9,0.32270105586382714,0.24198849441745396,0.4034136173102003,0.3202708198695019,0.2934194532172242,0.3455558724056265,3.0732513664190173,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
