condition,stressor,montage,dropout_fraction,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,delta_sd,cohens_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,shapiro_p_value_delta,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr
channel_dropout_0.1,channel_dropout,all_channels,0.1,roc_auc,primary,9,0.8523469792197497,0.7365129381122247,-0.11583404110752503,-0.14564082043930016,-0.08602726177574989,-0.11302785799218595,-0.15296755563105147,-0.11111347035841679,0.038777180244478814,-2.9871702990579814,-8.961510897173945,1.912414852786224e-05,0.0,0.00390625,0.00390625,0.2726794279778091,9,1.0,0,0.0,4.589795646686937e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.1,channel_dropout,all_channels,0.1,balanced_accuracy,secondary,9,0.7913108921729611,0.5448522167487684,-0.2464586754241927,-0.3452020258751065,-0.14771532497327888,-0.26314039408866996,-0.32017241379310346,-0.19532019704433512,0.128460329637056,-1.9185586407922355,-5.755675922376707,0.000426214892724603,0.0,0.00390625,0.00390625,0.8136101863406584,9,1.0,0,0.0,0.0006974425517311685,0.005408653846153846,0.005408653846153846
channel_dropout_0.1,channel_dropout,all_channels,0.1,brier_score,calibration,9,0.13665328518015096,0.4185726809385736,0.2819193957584226,0.21226112648262185,0.3515776650342234,0.30145181229359147,0.2074109119899441,0.355841000792519,0.09062204383640463,3.1109361897349985,9.332808569204996,1.41786552136879e-05,0.0,0.00390625,0.00390625,0.29775565664146153,9,1.0,0,0.0,3.92639682840588e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.1,channel_dropout,all_channels,0.1,ece,calibration,9,0.11937846067501175,0.42022575367625425,0.3008472930012425,0.24619370301000842,0.3555008829924766,0.3134373831441673,0.2293833880314711,0.3480796176048311,0.07110168081254797,4.231226175853626,12.693678527560877,1.3954934006012329e-06,0.0,0.00390625,0.00390625,0.16526724852537733,9,1.0,0,0.0,1.0047552484328876e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.2,channel_dropout,all_channels,0.2,roc_auc,primary,9,0.8523469792197497,0.6912125115603119,-0.1611344676594379,-0.20158333568057485,-0.12068559963830096,-0.18700611516901633,-0.19580346526244274,-0.12761423475454392,0.052622023616912206,-3.062110815663327,-9.186332446989981,1.593559831238849e-05,0.0,0.00390625,0.00390625,0.1384644312841482,9,1.0,0,0.0,4.0977252803284685e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.2,channel_dropout,all_channels,0.2,balanced_accuracy,secondary,9,0.7913108921729611,0.5297085385878489,-0.26160235358511225,-0.35684771060974946,-0.16635699656047503,-0.286908866995074,-0.3196674876847291,-0.22469211822660107,0.1239096091424023,-2.1112354029336617,-6.333706208800985,0.0002244994057634395,0.0,0.00390625,0.00390625,0.2975234775829967,9,1.0,0,0.0,0.000448998811526879,0.005408653846153846,0.005408653846153846
channel_dropout_0.2,channel_dropout,all_channels,0.2,brier_score,calibration,9,0.13665328518015096,0.4405418373062236,0.30388855212607263,0.25187397146821017,0.3559031327839351,0.3080558827087496,0.2507302668511958,0.3406286024876185,0.06766845713386882,4.490844996286652,13.472534988859957,8.834157629194474e-07,0.0,0.00390625,0.00390625,0.5928423178133049,9,1.0,0,0.0,7.950741866275027e-06,0.005408653846153846,0.005408653846153846
channel_dropout_0.2,channel_dropout,all_channels,0.2,ece,calibration,9,0.11937846067501175,0.44053303369672453,0.3211545730217128,0.28803305569341736,0.35427609035000823,0.3247984865170461,0.2787006624330013,0.330273715128816,0.04308949427624892,7.453198938998324,22.359596816994973,1.6931025121945414e-08,0.0,0.00390625,0.00390625,0.22564202451957766,9,1.0,0,0.0,6.095169043900349e-07,0.005408653846153846,0.005408653846153846
channel_dropout_0.3,channel_dropout,all_channels,0.3,roc_auc,primary,9,0.8523469792197497,0.6411946756506804,-0.21115230356906928,-0.26151925039354385,-0.1607853567445947,-0.24216451503312375,-0.25395787328010855,-0.16601579751995932,0.06552496509727453,-3.2224710574909112,-9.667413172472733,1.0920358617542658e-05,0.0,0.00390625,0.00390625,0.11637235236239901,9,1.0,0,0.0,3.573935547559415e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.3,channel_dropout,all_channels,0.3,balanced_accuracy,secondary,9,0.7913108921729611,0.5186562671045429,-0.27265462506841825,-0.37388217003225654,-0.17142708010458,-0.3128325123152711,-0.3512068965517241,-0.2204802955665025,0.13169214671188254,-2.070393959519355,-6.2111818785580635,0.00025628840588130195,0.0,0.00390625,0.00390625,0.2940660462943195,9,1.0,0,0.0,0.0004613191305863435,0.005408653846153846,0.005408653846153846
channel_dropout_0.3,channel_dropout,all_channels,0.3,brier_score,calibration,9,0.13665328518015096,0.4501511528540311,0.3134978676738801,0.25288022509683805,0.37411551025092216,0.3404045596269444,0.24937449862111571,0.3736794143009494,0.07886062516320055,3.9753408881187826,11.926022664356347,2.247284653225195e-06,0.0,0.00390625,0.00390625,0.11985449337606185,9,1.0,0,0.0,1.155746393087243e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.3,channel_dropout,all_channels,0.3,ece,calibration,9,0.11937846067501175,0.44602433589707974,0.32664587522206795,0.28608809469472946,0.36720365574940644,0.3429036356728349,0.2731675125852475,0.368120868061227,0.05276371352701105,6.190729449981754,18.57218834994526,7.28548955184027e-08,0.0,0.00390625,0.00390625,0.1051981274763586,9,1.0,0,0.0,8.742587462208324e-07,0.005408653846153846,0.005408653846153846
channel_dropout_0.5,channel_dropout,all_channels,0.5,roc_auc,primary,9,0.8523469792197497,0.6164724534284581,-0.2358745257912915,-0.2932463967002755,-0.17850265488230752,-0.26031849838627485,-0.2796449804654325,-0.2277089349413962,0.07463803299368907,-3.160245739745521,-9.480737219236563,1.2620614795226399e-05,0.0,0.00390625,0.00390625,0.0930870533377609,9,1.0,0,0.0,3.78618443856792e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.5,channel_dropout,all_channels,0.5,balanced_accuracy,secondary,9,0.7913108921729611,0.5123617952928297,-0.2789490968801314,-0.38215043539520477,-0.17574775836505804,-0.32318965517241394,-0.34592364532019704,-0.22613300492610844,0.1342599567878957,-2.0776790306942825,-6.233037092082848,0.0002502719909490884,0.0,0.00390625,0.00390625,0.32504306697045304,9,1.0,0,0.0,0.0004613191305863435,0.005408653846153846,0.005408653846153846
channel_dropout_0.5,channel_dropout,all_channels,0.5,brier_score,calibration,9,0.13665328518015096,0.45946829168324377,0.3228150065030928,0.2609781966093302,0.3846518163968554,0.3451623291386287,0.2640583995871587,0.3656666323750651,0.08044670295652499,4.012781066708831,12.038343200126493,2.0923672117461253e-06,0.0,0.00390625,0.00390625,0.3422122183698785,9,1.0,0,0.0,1.155746393087243e-05,0.005408653846153846,0.005408653846153846
channel_dropout_0.5,channel_dropout,all_channels,0.5,ece,calibration,9,0.11937846067501175,0.45798227037947675,0.338603809704465,0.297868287625623,0.37933933178330703,0.35084544393332795,0.28917507139326193,0.3579942522638164,0.052994946700607844,6.389360321794253,19.16808096538276,5.687296270853434e-08,0.0,0.00390625,0.00390625,0.4657962236080466,9,1.0,0,0.0,8.742587462208324e-07,0.005408653846153846,0.005408653846153846
cross_session_0,cross_session,all_channels,0.0,roc_auc,primary,9,0.8523469792197497,0.8529878257887517,0.0006408465690019725,-0.021370554146299774,0.022652247284303716,0.003311616461883937,-0.026358048283831037,0.01401942079954377,0.028635769180899055,0.022379233641449975,0.06713770092434992,0.9481196765545649,22.0,1.0,1.0,0.5985827312955383,4,0.4444444444444444,5,0.5555555555555556,0.9752088101704096,1.0,1.0
cross_session_0,cross_session,all_channels,0.0,balanced_accuracy,secondary,9,0.7913108921729611,0.7569444444444444,-0.03436644772851674,-0.08149140719460304,0.012758511737569561,-0.02442528735632188,-0.08043240284619602,-0.01026272577996723,0.06130729613186148,-0.5605604862201133,-1.6816814586603397,0.13113519123488174,7.0,0.07421875,0.0390625,0.21246763609837682,8,0.8888888888888888,1,0.1111111111111111,0.14305657225623464,0.08096590909090909,0.0439453125
cross_session_0,cross_session,all_channels,0.0,brier_score,calibration,9,0.13665328518015096,0.16676668627933744,0.03011340109918646,0.000138495320279583,0.060088306878093335,0.028716173868229278,0.013131537975130596,0.05934639184192639,0.038995904631697026,0.772219580071221,2.3166587402136627,0.04917525668009853,6.0,0.0546875,0.0390625,0.805130240604678,8,0.8888888888888888,1,0.1111111111111111,0.05710674969301764,0.0615234375,0.0439453125
cross_session_0,cross_session,all_channels,0.0,ece,calibration,9,0.11937846067501175,0.16046156853274343,0.0410831078577317,0.00699987267083782,0.07516634304462558,0.05540645999682389,-0.0035615437941386996,0.0700502807425164,0.04434064275935429,0.9265338818090235,2.7796016454270704,0.02393927197702471,6.0,0.0546875,0.5078125,0.16473892309761407,6,0.6666666666666666,3,0.3333333333333333,0.02971771693699619,0.0615234375,0.5376838235294118
reduced_montage_motor_core,reduced_montage,motor_core,0.0,roc_auc,primary,9,0.8523469792197497,0.7545354170205537,-0.09781156219919594,-0.14920480918883036,-0.04641831520956152,-0.08316629862408687,-0.12588754883641934,-0.05788177339901457,0.06686013204189363,-1.4629280441430863,-4.388784132429259,0.002321321296869127,0.0,0.00390625,0.00390625,0.2559776191101202,9,1.0,0,0.0,0.0032141371802803295,0.005408653846153846,0.005408653846153846
reduced_montage_motor_core,reduced_montage,motor_core,0.0,balanced_accuracy,secondary,9,0.7913108921729611,0.7005473453749316,-0.09076354679802956,-0.1355632417206987,-0.04596385187536043,-0.08325123152709357,-0.11896551724137927,-0.045073891625615814,0.058282239271053235,-1.5573105620721863,-4.671931686216559,0.0015985076505645557,0.0,0.00390625,0.00390625,0.3497022952236879,9,1.0,0,0.0,0.0023977614758468337,0.005408653846153846,0.005408653846153846
reduced_montage_motor_core,reduced_montage,motor_core,0.0,brier_score,calibration,9,0.13665328518015096,0.18101183068329985,0.044358545503148855,0.01425583877234662,0.07446125223395109,0.04970799598474249,0.023531452244522494,0.052885200698793294,0.0391621674973324,1.1326887232727967,3.3980661698183905,0.009387273965840695,2.0,0.01171875,0.0390625,0.8192606948566155,8,0.8888888888888888,1,0.1111111111111111,0.012516365287787594,0.014062499999999999,0.0439453125
reduced_montage_motor_core,reduced_montage,motor_core,0.0,ece,calibration,9,0.11937846067501175,0.1109003755435854,-0.00847808513142633,-0.059844748320316055,0.04288857805746339,0.004224249993767304,-0.022310705597439695,0.036840847638086906,0.06682554780112121,-0.126868920800438,-0.380606762401314,0.7134023995835682,22.0,1.0,1.0,0.26360680156709965,5,0.5555555555555556,4,0.4444444444444444,0.7553672466178958,1.0,1.0
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,roc_auc,primary,9,0.8523469792197497,0.8013928996093087,-0.050954079610441,-0.09799880743101494,-0.003909351789867059,-0.03420248004076765,-0.059113300492610876,-0.011279089519279584,0.061202918636234914,-0.8325432960687902,-2.4976298882063706,0.0370787233249193,2.0,0.01171875,0.0390625,0.09047895519488841,8,0.8888888888888888,1,0.1111111111111111,0.04449446798990316,0.014062499999999999,0.0439453125
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,balanced_accuracy,secondary,9,0.7913108921729611,0.7453065134099617,-0.04600437876299945,-0.0831339507367029,-0.008874806789295996,-0.031157635467980005,-0.07302955665024635,-0.020935960591133118,0.04830377978105767,-0.952397078893608,-2.857191236680824,0.021242912438094144,2.0,0.01171875,0.0390625,0.29112229998758293,8,0.8888888888888888,1,0.1111111111111111,0.027312315991835326,0.014062499999999999,0.0439453125
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,brier_score,calibration,9,0.13665328518015096,0.15770613693784816,0.021052851757697163,-0.002476037072512316,0.04458174058790664,0.010442230320656193,0.006914568143366884,0.022369334721893397,0.03060994792378329,0.6877780978300697,2.0633342934902092,0.0729810113170443,2.0,0.01171875,0.0390625,0.0009124369866824968,8,0.8888888888888888,1,0.1111111111111111,0.08210363773167485,0.014062499999999999,0.0439453125
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,ece,calibration,9,0.11937846067501175,0.11948369569925636,0.00010523502424461385,-0.012857248548580152,0.013067718597069379,0.006694317578811802,-0.01658616638655709,0.012540288523713194,0.01686356504084557,0.006240378234953406,0.01872113470486022,0.9855220624905008,22.0,1.0,0.5078125,0.10208307283125528,6,0.6666666666666666,3,0.3333333333333333,0.9855220624905008,1.0,0.5376838235294118
region_dropout_0.136364,region_dropout,all_channels,0.1363636363636363,roc_auc,primary,9,0.8523469792197497,0.7655719759168035,-0.08677500330294617,-0.13004892733645723,-0.043501079269435125,-0.060064549006284995,-0.11685068795651443,-0.046483777815525706,0.05629728503892694,-1.5413710135923129,-4.624113040776939,0.0017010514751036542,0.0,0.00390625,0.00390625,0.3636915533253959,9,1.0,0,0.0,0.0024495141241492623,0.005408653846153846,0.005408653846153846
region_dropout_0.136364,region_dropout,all_channels,0.1363636363636363,balanced_accuracy,secondary,9,0.7913108921729611,0.5868226600985222,-0.204488232074439,-0.2815635369368996,-0.1274129272119784,-0.22980295566502462,-0.23793103448275865,-0.10812807881773412,0.10027124889214904,-2.039350604821776,-6.118051814465328,0.00028377555659904425,0.0,0.00390625,0.00390625,0.20392141689148408,9,1.0,0,0.0,0.0004864723827412187,0.005408653846153846,0.005408653846153846
region_dropout_0.136364,region_dropout,all_channels,0.1363636363636363,brier_score,calibration,9,0.13665328518015096,0.36023574392467844,0.22358245874452745,0.1642379706131508,0.2829269468759041,0.22328927421821143,0.1850583837245135,0.2703224590123914,0.07720431272269487,2.895984056585008,8.687952169755025,2.4001808411185466e-05,0.0,0.00390625,0.00390625,0.845461764890118,9,1.0,0,0.0,5.4004068925167304e-05,0.005408653846153846,0.005408653846153846
region_dropout_0.136364,region_dropout,all_channels,0.1363636363636363,ece,calibration,9,0.11937846067501175,0.37113389332700497,0.25175543265199324,0.19206965464118503,0.31144121066280145,0.2571517496080542,0.2085880900601166,0.2891518248654033,0.07764831437154882,3.2422523874418987,9.726757162325695,1.0434629277746909e-05,0.0,0.00390625,0.00390625,0.8699531191052354,9,1.0,0,0.0,3.573935547559415e-05,0.005408653846153846,0.005408653846153846
region_dropout_0.318182,region_dropout,all_channels,0.3181818181818182,roc_auc,primary,9,0.8523469792197497,0.6885821867391427,-0.16376479248060694,-0.20199587009231096,-0.1255337148689029,-0.17020553762527602,-0.19358331917784943,-0.13672074061491402,0.049736785413421455,-3.2926292103392565,-9.87788763101777,9.302930935769771e-06,0.0,0.00390625,0.00390625,0.8924965715138454,9,1.0,0,0.0,3.573935547559415e-05,0.005408653846153846,0.005408653846153846
