condition,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,cohens_dz,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr,shapiro_p_value_delta,pct_worse_than_clean
channel_dropout_0.1,balanced_accuracy,secondary,9,0.7913108921729611,0.5448522167487684,-0.2464586754241927,-0.3452020258751065,-0.14771532497327888,-0.26314039408866996,-1.9185586407922355,0.0006974425517311685,0.005408653846153846,0.005408653846153846,0.8136101863406584,1.0
channel_dropout_0.2,balanced_accuracy,secondary,9,0.7913108921729611,0.5297085385878489,-0.26160235358511225,-0.35684771060974946,-0.16635699656047503,-0.286908866995074,-2.1112354029336617,0.000448998811526879,0.005408653846153846,0.005408653846153846,0.2975234775829967,1.0
channel_dropout_0.3,balanced_accuracy,secondary,9,0.7913108921729611,0.5186562671045429,-0.27265462506841825,-0.37388217003225654,-0.17142708010458,-0.3128325123152711,-2.070393959519355,0.0004613191305863435,0.005408653846153846,0.005408653846153846,0.2940660462943195,1.0
channel_dropout_0.5,balanced_accuracy,secondary,9,0.7913108921729611,0.5123617952928297,-0.2789490968801314,-0.38215043539520477,-0.17574775836505804,-0.32318965517241394,-2.0776790306942825,0.0004613191305863435,0.005408653846153846,0.005408653846153846,0.32504306697045304,1.0
cross_session_0,balanced_accuracy,secondary,9,0.7913108921729611,0.7569444444444444,-0.03436644772851674,-0.08149140719460304,0.012758511737569561,-0.02442528735632188,-0.5605604862201133,0.14305657225623464,0.08096590909090909,0.0439453125,0.21246763609837682,0.8888888888888888
reduced_montage_motor_core,balanced_accuracy,secondary,9,0.7913108921729611,0.7005473453749316,-0.09076354679802956,-0.1355632417206987,-0.04596385187536043,-0.08325123152709357,-1.5573105620721863,0.0023977614758468337,0.005408653846153846,0.005408653846153846,0.3497022952236879,1.0
reduced_montage_motor_extended,balanced_accuracy,secondary,9,0.7913108921729611,0.7453065134099617,-0.04600437876299945,-0.0831339507367029,-0.008874806789295996,-0.031157635467980005,-0.952397078893608,0.027312315991835326,0.014062499999999999,0.0439453125,0.29112229998758293,0.8888888888888888
region_dropout_0.136364,balanced_accuracy,secondary,9,0.7913108921729611,0.5868226600985222,-0.204488232074439,-0.2815635369368996,-0.1274129272119784,-0.22980295566502462,-2.039350604821776,0.0004864723827412187,0.005408653846153846,0.005408653846153846,0.20392141689148408,1.0
region_dropout_0.318182,balanced_accuracy,secondary,9,0.7913108921729611,0.5239737274220033,-0.26733716475095787,-0.3784609366464764,-0.15621339285543934,-0.2713054187192119,-1.8492311077810224,0.0008490357658196096,0.005408653846153846,0.005408653846153846,0.6835047120657514,1.0
channel_dropout_0.1,roc_auc,primary,9,0.8523469792197497,0.7365129381122247,-0.11583404110752503,-0.14564082043930016,-0.08602726177574989,-0.11302785799218595,-2.9871702990579814,4.589795646686937e-05,0.005408653846153846,0.005408653846153846,0.2726794279778091,1.0
channel_dropout_0.2,roc_auc,primary,9,0.8523469792197497,0.6912125115603119,-0.1611344676594379,-0.20158333568057485,-0.12068559963830096,-0.18700611516901633,-3.062110815663327,4.0977252803284685e-05,0.005408653846153846,0.005408653846153846,0.1384644312841482,1.0
channel_dropout_0.3,roc_auc,primary,9,0.8523469792197497,0.6411946756506804,-0.21115230356906928,-0.26151925039354385,-0.1607853567445947,-0.24216451503312375,-3.2224710574909112,3.573935547559415e-05,0.005408653846153846,0.005408653846153846,0.11637235236239901,1.0
channel_dropout_0.5,roc_auc,primary,9,0.8523469792197497,0.6164724534284581,-0.2358745257912915,-0.2932463967002755,-0.17850265488230752,-0.26031849838627485,-3.160245739745521,3.78618443856792e-05,0.005408653846153846,0.005408653846153846,0.0930870533377609,1.0
cross_session_0,roc_auc,primary,9,0.8523469792197497,0.8529878257887517,0.0006408465690019725,-0.021370554146299774,0.022652247284303716,0.003311616461883937,0.022379233641449975,0.9752088101704096,1.0,1.0,0.5985827312955383,0.4444444444444444
reduced_montage_motor_core,roc_auc,primary,9,0.8523469792197497,0.7545354170205537,-0.09781156219919594,-0.14920480918883036,-0.04641831520956152,-0.08316629862408687,-1.4629280441430863,0.0032141371802803295,0.005408653846153846,0.005408653846153846,0.2559776191101202,1.0
reduced_montage_motor_extended,roc_auc,primary,9,0.8523469792197497,0.8013928996093087,-0.050954079610441,-0.09799880743101494,-0.003909351789867059,-0.03420248004076765,-0.8325432960687902,0.04449446798990316,0.014062499999999999,0.0439453125,0.09047895519488841,0.8888888888888888
region_dropout_0.136364,roc_auc,primary,9,0.8523469792197497,0.7655719759168035,-0.08677500330294617,-0.13004892733645723,-0.043501079269435125,-0.060064549006284995,-1.5413710135923129,0.0024495141241492623,0.005408653846153846,0.005408653846153846,0.3636915533253959,1.0
region_dropout_0.318182,roc_auc,primary,9,0.8523469792197497,0.6885821867391427,-0.16376479248060694,-0.20199587009231096,-0.1255337148689029,-0.17020553762527602,-3.2926292103392565,3.573935547559415e-05,0.005408653846153846,0.005408653846153846,0.8924965715138454,1.0
