condition,metric,available,role,n_subjects,mean_delta_condition_minus_clean,pct_worse_than_clean,ttest_fdr,wilcoxon_fdr,interpretation
channel_dropout_0.1,roc_auc,True,primary,9,-0.11450276503784229,1.0,4.77363393912187e-05,0.005208333333333333,primary
channel_dropout_0.1,balanced_accuracy,True,secondary,9,-0.24730569239189926,1.0,0.00049622904516859,0.005208333333333333,secondary
channel_dropout_0.1,brier_score,True,calibration,9,0.2836005242318905,1.0,1.2993084093304417e-05,0.005208333333333333,calibration_optional
channel_dropout_0.1,ece,True,calibration,9,0.30487609155330087,1.0,1.3638010332062593e-06,0.005208333333333333,calibration_optional
channel_dropout_0.2,roc_auc,True,primary,9,-0.16525300568106746,1.0,5.26625300412375e-05,0.005208333333333333,primary
channel_dropout_0.2,balanced_accuracy,True,secondary,9,-0.2688984674329502,1.0,0.0005081644463356503,0.005208333333333333,secondary
channel_dropout_0.2,brier_score,True,calibration,9,0.30393999680131034,1.0,2.4552636714854602e-05,0.005208333333333333,calibration_optional
channel_dropout_0.2,ece,True,calibration,9,0.32069792350754306,1.0,3.251096881089004e-06,0.005208333333333333,calibration_optional
channel_dropout_0.3,roc_auc,True,primary,9,-0.20277239869392064,1.0,4.8659878729584786e-05,0.005208333333333333,primary
channel_dropout_0.3,balanced_accuracy,True,secondary,9,-0.27633689107827036,1.0,0.0005081644463356503,0.005208333333333333,secondary
channel_dropout_0.3,brier_score,True,calibration,9,0.3150726797838319,1.0,1.2993084093304417e-05,0.005208333333333333,calibration_optional
channel_dropout_0.3,ece,True,calibration,9,0.33105406827579664,1.0,1.3638010332062593e-06,0.005208333333333333,calibration_optional
channel_dropout_0.5,roc_auc,True,primary,9,-0.23026914293263878,1.0,4.77363393912187e-05,0.005208333333333333,primary
channel_dropout_0.5,balanced_accuracy,True,secondary,9,-0.28127805145046525,1.0,0.0005081644463356503,0.005208333333333333,secondary
channel_dropout_0.5,brier_score,True,calibration,9,0.325283917068823,1.0,1.6592269286890255e-05,0.005208333333333333,calibration_optional
channel_dropout_0.5,ece,True,calibration,9,0.33956168401656694,1.0,1.7715314767888784e-06,0.005208333333333333,calibration_optional
cross_session_0,roc_auc,True,primary,9,0.0006408465690019725,0.4444444444444444,0.9724304374918614,1.0,primary
cross_session_0,balanced_accuracy,True,secondary,9,-0.03436644772851674,0.8888888888888888,0.14176777430798024,0.08023648648648649,secondary
cross_session_0,brier_score,True,calibration,9,0.03011340109912344,0.8888888888888888,0.056200293349298866,0.06076388888888889,calibration_optional
cross_session_0,ece,True,calibration,9,0.04108310785768602,0.6666666666666666,0.029017299366791274,0.06076388888888889,calibration_optional
reduced_montage_motor_core,roc_auc,True,primary,9,-0.09781156219919594,1.0,0.003095095062492169,0.005208333333333333,primary
reduced_montage_motor_core,balanced_accuracy,True,secondary,9,-0.09076354679802956,1.0,0.00236815948231786,0.005208333333333333,secondary
reduced_montage_motor_core,brier_score,True,calibration,9,0.04435854550314611,0.8888888888888888,0.012112611568838073,0.013786764705882353,calibration_optional
reduced_montage_motor_core,ece,True,calibration,9,-0.008478085131420085,0.5555555555555556,0.7509498942986605,1.0,calibration_optional
reduced_montage_motor_extended,roc_auc,True,primary,9,-0.050954079610441,0.8888888888888888,0.04362202744108153,0.013786764705882353,primary
reduced_montage_motor_extended,balanced_accuracy,True,secondary,9,-0.04600437876299945,0.8888888888888888,0.026553640547617677,0.013786764705882353,secondary
reduced_montage_motor_extended,brier_score,True,calibration,9,0.021052851757670663,0.8888888888888888,0.08109001257479612,0.013786764705882353,calibration_optional
reduced_montage_motor_extended,ece,True,calibration,9,0.00010523502425587567,0.6666666666666666,0.9855220624889378,1.0,calibration_optional
region_dropout_left_motor_strip_0.318182,roc_auc,True,primary,9,-0.14620444293452617,1.0,0.00036411832745177644,0.005208333333333333,primary
region_dropout_left_motor_strip_0.318182,balanced_accuracy,True,secondary,9,-0.2527914614121511,1.0,0.0023926993407704187,0.005208333333333333,secondary
region_dropout_left_motor_strip_0.318182,brier_score,True,calibration,9,0.2863316983074192,1.0,0.00049622904516859,0.005208333333333333,calibration_optional
region_dropout_left_motor_strip_0.318182,ece,True,calibration,9,0.30144576880545315,1.0,0.0001620734044823561,0.005208333333333333,calibration_optional
region_dropout_midline_motor_strip_0.136364,roc_auc,True,primary,9,-0.08677500330294617,1.0,0.0023926993407704187,0.005208333333333333,primary
region_dropout_midline_motor_strip_0.136364,balanced_accuracy,True,secondary,9,-0.204488232074439,1.0,0.0005081644463356503,0.005208333333333333,secondary
region_dropout_midline_motor_strip_0.136364,brier_score,True,calibration,9,0.22358245874410873,1.0,6.0004521028484866e-05,0.005208333333333333,calibration_optional
region_dropout_midline_motor_strip_0.136364,ece,True,calibration,9,0.2517554326512047,1.0,4.173851711220744e-05,0.005208333333333333,calibration_optional
region_dropout_right_motor_strip_0.318182,roc_auc,True,primary,9,-0.18132514202668779,1.0,0.001836838015490875,0.005208333333333333,primary
region_dropout_right_motor_strip_0.318182,balanced_accuracy,True,secondary,9,-0.2818828680897647,1.0,0.0005262963283894855,0.005208333333333333,secondary
region_dropout_right_motor_strip_0.318182,brier_score,True,calibration,9,0.32270105586382714,1.0,4.77363393912187e-05,0.005208333333333333,calibration_optional
region_dropout_right_motor_strip_0.318182,ece,True,calibration,9,0.3365620504080609,1.0,1.2993084093304417e-05,0.005208333333333333,calibration_optional
