dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.1,,,,0.8286436215389843,0.5546798029556651,0.4138034349277869,0.42421072496999485,22,2.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.2,,,,0.7499830134193987,0.5364655172413793,0.42448127162990945,0.42292252952623366,22,4.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.3,,,,0.6862697468999491,0.5164285714285715,0.4362712659614089,0.4304743501209054,22,7.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.5,,,,0.6785790725326991,0.5178817733990148,0.452820932384688,0.45284721005723577,22,11.0
BNCI2014-001,1,csp_lda,clean,all_channels,0.0,,,,0.9357142857142857,0.8577586206896551,0.10223521440738179,0.10778062586368256,22,0.0
BNCI2014-001,1,csp_lda,cross_session,all_channels,0.0,,0train,1test,0.9743441358024691,0.8333333333333333,0.11966521197996788,0.16318708586056296,22,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_core,0.0,,,,0.868795651435366,0.8024630541871922,0.15216190960381487,0.15740230772011338,3,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_extended,0.0,,,,0.9433157805333787,0.8682266009852218,0.1004357444881884,0.11558458998312111,9,0.0
BNCI2014-001,1,csp_lda,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.8950993714965177,0.6279556650246305,0.2854592961958998,0.3060447513283796,22,3.0
BNCI2014-001,1,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.6907168337013758,0.5,0.49858359666497665,0.49907179435521226,22,7.0
BNCI2014-001,1,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.7935450993714965,0.558128078817734,0.42250603427688366,0.41712958065311134,22,7.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.1,,,,0.5147273653813488,0.5074384236453202,0.4409094959312831,0.42518420317225586,22,2.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.2,,,,0.49840071343638526,0.49679802955665026,0.4524209372421083,0.44164050327055426,22,4.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.3,,,,0.4897579412264312,0.4984113300492611,0.4558552349607383,0.44351667600555994,22,7.0
BNCI2014-001,2,csp_lda,channel_dropout,all_channels,0.5,,,,0.48204943094954983,0.49809113300492613,0.45466476488666907,0.4422351488926761,22,11.0
BNCI2014-001,2,csp_lda,clean,all_channels,0.0,,,,0.6234244946492271,0.5836206896551724,0.2511941467652634,0.17923627664979871,22,0.0
BNCI2014-001,2,csp_lda,cross_session,all_channels,0.0,,0train,1test,0.626736111111111,0.5694444444444444,0.2799103206336537,0.22239073702700962,22,0.0
BNCI2014-001,2,csp_lda,reduced_montage,motor_core,0.0,,,,0.49753694581280783,0.5003694581280789,0.25393182797254593,0.06185647555760536,3,0.0
BNCI2014-001,2,csp_lda,reduced_montage,motor_extended,0.0,,,,0.5773144216069305,0.5556650246305419,0.2581087149088205,0.15279979170596547,9,0.0
BNCI2014-001,2,csp_lda,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.4514183794802107,0.5,0.4512493829217397,0.4363880262562957,22,3.0
BNCI2014-001,2,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.4907508068625786,0.5093596059113301,0.41922492623208074,0.3891436649201287,22,7.0
BNCI2014-001,2,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.5692627824019025,0.491256157635468,0.41180303522491946,0.3908998407051192,22,7.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.1,,,,0.9388890776286734,0.5636453201970444,0.4135628032842577,0.4286619905861212,22,2.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.2,,,,0.910203838967216,0.5399630541871921,0.4400341188621948,0.4517188450647297,22,4.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.3,,,,0.8626736877866485,0.5486206896551724,0.4197320451035905,0.4334067852902344,22,7.0
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,0.5,,,,0.7741532189570239,0.5144334975369458,0.46534395758004243,0.4666507593621753,22,11.0
