condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.1,brier_score,calibration,9,0.16885960340574246,0.14554383091159664,0.19217537589988828,0.16285845824765058,0.1558897602622156,0.18591255918473631,5.566917470714255,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.2,brier_score,calibration,9,0.23650569930830156,0.19296715843402787,0.28004424018257523,0.24718224716369708,0.2290364830281675,0.2725188960763137,4.175481536226337,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.3,brier_score,calibration,9,0.2632788125640589,0.22251113312518778,0.30404649200293,0.28520806351906236,0.2506527310826092,0.2974816464735413,4.964079705956844,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.5,brier_score,calibration,9,0.28918786080518344,0.2398756865927013,0.33850003501766557,0.30247896859103207,0.2606902654159756,0.3394375482694997,4.507800987737957,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
cross_session_0,brier_score,calibration,9,0.023112155308374436,-0.0035469134757725694,0.04977122409252144,0.014074205238679582,0.0074289739922330095,0.0212826607580173,0.6663989422151861,medium,8,0.8888888888888888,1,0.1111111111111111,0.045362903225806446,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,brier_score,calibration,9,0.05812190053597023,0.03480616847147949,0.08143763260046097,0.06563203683060642,0.031639313743284395,0.0781286218022513,1.9161503287587212,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
reduced_montage_motor_extended,brier_score,calibration,9,0.0235848461761246,0.007242503982036883,0.03992718837021232,0.017607534121446167,0.013026509816194201,0.019034456335283598,1.1093218700310363,large,9,1.0,0,0.0,0.004849137931034483,non_normal_delta_check_wilcoxon
region_dropout_0.136364,brier_score,calibration,9,0.18025618232190802,0.10762291447562666,0.25288945016818937,0.1728288520258376,0.0903726632098349,0.2597821092534139,1.9076267857044489,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
region_dropout_0.318182,brier_score,calibration,9,0.33302416821366704,0.24304948905719131,0.42299884737014276,0.35515634884936953,0.2708710076984623,0.4116281643647837,2.845078623687326,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.1,ece,calibration,9,0.1989133858967049,0.17151628765330845,0.22631048414010135,0.19217263108393612,0.17873547623216463,0.230142417769832,5.580823272477079,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.2,ece,calibration,9,0.25662723954914735,0.2219307353526978,0.2913237437455969,0.2698899002750379,0.24911170901271,0.2757385076916129,5.6853323729264975,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.3,ece,calibration,9,0.2788508560750871,0.25831258565984466,0.2993891264903295,0.2861489323267014,0.2593076456419348,0.2973735708296955,10.436309293391918,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.5,ece,calibration,9,0.2922836339421886,0.2719316808314001,0.31263558705297706,0.28897162685502636,0.2689736598728351,0.3126461669004195,11.039190601742947,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
cross_session_0,ece,calibration,9,0.01273676939166999,-0.020838283855641737,0.04631182263898172,0.0016942145253820984,-0.0244589096502328,0.032111068000655205,0.29159589283932125,small,5,0.5555555555555556,4,0.4444444444444444,1.0,descriptive_or_not_fdr_significant
reduced_montage_motor_core,ece,calibration,9,0.004713783234216667,-0.03171482701823436,0.04114239348666769,0.014435998086473598,-0.0216719343564184,0.0361670548548705,0.09946397950429942,negligible,6,0.6666666666666666,3,0.3333333333333333,0.5376838235294118,descriptive_or_not_fdr_significant
reduced_montage_motor_extended,ece,calibration,9,0.004639141480502742,-0.012875645877104061,0.022153928838109543,0.0067108257631652984,-0.0043260364015935,0.01745474136825151,0.20359709426123537,small,6,0.6666666666666666,3,0.3333333333333333,0.5376838235294118,descriptive_or_not_fdr_significant
region_dropout_0.136364,ece,calibration,9,0.21772525253929775,0.13872574080578542,0.2967247642728101,0.1825800129865337,0.12245977069706919,0.3395572174935748,2.118474412802423,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
region_dropout_0.318182,ece,calibration,9,0.33513345814780243,0.2795305567385967,0.39073635955700814,0.3500013409437609,0.2802259263320705,0.3774013104622013,4.63296651042599,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.1,roc_auc,primary,9,-0.026134609214276263,-0.040788054244112165,-0.011481164184440363,-0.019518430439952383,-0.03905129947341557,-0.011864277220995367,-1.3709294252957176,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.2,roc_auc,primary,9,-0.057611592397561466,-0.08421524529584916,-0.031007939499273777,-0.04439272974350261,-0.08859520978427027,-0.03408187531849838,-1.6645905835112402,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.3,roc_auc,primary,9,-0.10372742200328404,-0.14259321820611703,-0.06486162580045103,-0.10004331578053327,-0.13807202310174949,-0.06361814166808233,-2.051468449922086,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.5,roc_auc,primary,9,-0.15653086839174826,-0.19959118479564603,-0.1134705519878505,-0.14118821131306258,-0.1933981654492949,-0.12680822150501103,-2.7942264861899373,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
cross_session_0,roc_auc,primary,9,-0.0073362156636311605,-0.021885445251626404,0.0072130139243640826,-0.00320183937405516,-0.02506501037020259,0.0016442184285525574,-0.38758853300479335,small,5,0.5555555555555556,4,0.4444444444444444,1.0,descriptive_or_not_fdr_significant
reduced_montage_motor_core,roc_auc,primary,9,-0.11067417851008811,-0.16302773100513301,-0.05832062601504322,-0.1212417190419568,-0.13669950738916237,-0.05426363173093285,-1.6249461666028142,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
reduced_montage_motor_extended,roc_auc,primary,9,-0.04940830077572048,-0.0866903181100547,-0.01212628344138627,-0.030057754374044454,-0.07871581450653986,-0.013555291319857332,-1.0186836626040578,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
region_dropout_0.136364,roc_auc,primary,9,-0.02148141856821993,-0.04415071048256883,0.0011878733461289613,-0.012162391710548781,-0.03580771190759291,-0.0029726516052319685,-0.7283897564383407,medium,8,0.8888888888888888,1,0.1111111111111111,0.045362903225806446,non_normal_delta_check_wilcoxon
region_dropout_0.318182,roc_auc,primary,9,-0.1313982786931657,-0.1538301267703905,-0.10896643061594088,-0.13980805163920473,-0.14698063529811445,-0.11037030745710907,-4.50260084058481,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.1,balanced_accuracy,secondary,9,-0.1982183908045977,-0.2421316837610924,-0.15430509784810298,-0.2063423645320197,-0.23105911330049256,-0.1856650246305418,-3.469658791183217,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.2,balanced_accuracy,secondary,9,-0.25862342638204705,-0.32604328732583865,-0.19120356543825545,-0.289655172413793,-0.31956896551724145,-0.21665024630541863,-2.9486201956368228,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
channel_dropout_0.3,balanced_accuracy,secondary,9,-0.2829447181171319,-0.3603290993631105,-0.20556033687115327,-0.2936945812807882,-0.35323891625615766,-0.23456896551724127,-2.8105227416124094,large,9,1.0,0,0.0,0.004849137931034483,fdr_significant_ttest
