condition,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,cohens_dz,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr,shapiro_p_value_delta,pct_worse_than_clean
channel_dropout_0.1,balanced_accuracy,secondary,9,0.821784345922277,0.6235235358511221,-0.19826081007115487,-0.24635624648056845,-0.1501653736617413,-0.22597290640394097,-3.168632216864041,4.5000423819431965e-05,0.0048828125,0.0048828125,0.1047963341944052,1.0
channel_dropout_0.2,balanced_accuracy,secondary,9,0.821784345922277,0.5608401751505201,-0.260944170771757,-0.3316005538375985,-0.19028778770591553,-0.30538177339901473,-2.8388014913262736,8.54189430481905e-05,0.0048828125,0.0048828125,0.10480918977805465,1.0
channel_dropout_0.3,balanced_accuracy,secondary,9,0.821784345922277,0.5358648056923919,-0.285919540229885,-0.36500306774906344,-0.2068360127107066,-0.31333743842364536,-2.7790517308672786,9.258240727738889e-05,0.0048828125,0.0048828125,0.4006744329297833,1.0
channel_dropout_0.5,balanced_accuracy,secondary,9,0.821784345922277,0.520353037766831,-0.3014313081554461,-0.3884853961480628,-0.2143772201628294,-0.31185960591133,-2.6615707510692017,0.00011068393617114078,0.0048828125,0.0048828125,0.48770573677602,1.0
cross_session_0,balanced_accuracy,secondary,9,0.821784345922277,0.771604938271605,-0.050179407650671984,-0.12460165991564101,0.024242844614297043,-0.010461138478379817,-0.5182765370253485,0.17621660403218495,0.043402777777777776,0.19965277777777776,0.0002503479988076293,0.7777777777777778
reduced_montage_motor_core,balanced_accuracy,secondary,9,0.821784345922277,0.7076628352490422,-0.11412151067323478,-0.15782214783976756,-0.07042087350670201,-0.10049261083743843,-2.007329050492388,0.0005488263972740167,0.0048828125,0.0048828125,0.0018237438965559823,1.0
reduced_montage_motor_extended,balanced_accuracy,secondary,9,0.821784345922277,0.7642036124794747,-0.057580733442802394,-0.0910480182884538,-0.02411344859715099,-0.05233990147783241,-1.3224995697496722,0.00533339754988199,0.0048828125,0.0048828125,0.4114215192642995,1.0
region_dropout_left_motor_strip_0.318182,balanced_accuracy,secondary,9,0.821784345922277,0.5014778325123153,-0.3203065134099617,-0.42054638153014584,-0.22006664528977754,-0.3610837438423645,-2.4562021688835776,0.00018475882190334203,0.0048828125,0.0048828125,0.49613978404539194,1.0
region_dropout_midline_motor_strip_0.136364,balanced_accuracy,secondary,9,0.821784345922277,0.6230842911877396,-0.1987000547345375,-0.2691767851345993,-0.1282233243344757,-0.1669950738916256,-2.167160448004816,0.00037562121929735927,0.0048828125,0.0048828125,0.15669595614599996,1.0
region_dropout_right_motor_strip_0.318182,balanced_accuracy,secondary,9,0.821784345922277,0.504912424740011,-0.316871921182266,-0.4168726402593013,-0.21687120210523064,-0.35763546798029555,-2.435675687536788,0.00018515529441716014,0.0048828125,0.0048828125,0.34800162749430075,1.0
channel_dropout_0.1,roc_auc,primary,9,0.8775994186814637,0.849847875733726,-0.027751542947737913,-0.04081133562264812,-0.014691750272827705,-0.030997112281297756,-1.633389196617284,0.0016431872487889122,0.0048828125,0.0048828125,0.7312882108633364,1.0
channel_dropout_0.2,roc_auc,primary,9,0.8775994186814637,0.8203851235301889,-0.0572142951512749,-0.0826065310570665,-0.0318220592454833,-0.0463971462544589,-1.7319782537876574,0.0011807069631299826,0.0048828125,0.0048828125,0.7748636242734839,1.0
channel_dropout_0.3,roc_auc,primary,9,0.8775994186814637,0.7723994488798294,-0.10519996980163449,-0.1441596961896052,-0.06624024341366377,-0.0943672498726007,-2.0755755398120175,0.0004581691223821019,0.0048828125,0.0048828125,0.16566587110532877,1.0
channel_dropout_0.5,roc_auc,primary,9,0.8775994186814637,0.7241316082517033,-0.15346781042976046,-0.1975918091838764,-0.10934381167564453,-0.13844487854594856,-2.673506598558566,0.00011068393617114078,0.0048828125,0.0048828125,0.8180869616005333,1.0
cross_session_0,roc_auc,primary,9,0.8775994186814637,0.8702632030178327,-0.0073362156636311605,-0.021885445251626404,0.0072130139243640826,-0.00320183937405516,-0.38758853300479335,0.30100951518146857,0.3885135135135135,1.0,0.4848993753523557,0.5555555555555556
reduced_montage_motor_core,roc_auc,primary,9,0.8775994186814637,0.7669252401713756,-0.11067417851008811,-0.16302773100513301,-0.05832062601504322,-0.1212417190419568,-1.6249461666028142,0.0016431872487889122,0.0048828125,0.0048828125,0.5624940489152406,1.0
reduced_montage_motor_extended,roc_auc,primary,9,0.8775994186814637,0.8281911179057434,-0.04940830077572048,-0.0866903181100547,-0.01212628344138627,-0.030057754374044454,-1.0186836626040578,0.01900158289453569,0.0048828125,0.0048828125,0.12490017935214726,1.0
region_dropout_left_motor_strip_0.318182,roc_auc,primary,9,0.8775994186814637,0.7805739576845404,-0.0970254609969235,-0.1349569140656065,-0.059094007928240475,-0.10809410565653133,-1.9661880943840533,0.0006038855805170832,0.00946969696969697,0.044642857142857144,0.2515960443297506,0.8888888888888888
region_dropout_midline_motor_strip_0.136364,roc_auc,primary,9,0.8775994186814637,0.8561180001132438,-0.02148141856821993,-0.04415071048256883,0.0011878733461289613,-0.012162391710548781,-0.7283897564383407,0.07102820794859291,0.03125,0.044642857142857144,0.025279515841738116,0.8888888888888888
region_dropout_right_motor_strip_0.318182,roc_auc,primary,9,0.8775994186814637,0.711828322292056,-0.16577109638940785,-0.23623342719152343,-0.09530876558729226,-0.1474265330388992,-1.8083839001619926,0.0009288060361743961,0.0048828125,0.0048828125,0.13120614685623377,1.0
