condition,metric,available,role,n_subjects,mean_delta_condition_minus_clean,pct_worse_than_clean,ttest_fdr,wilcoxon_fdr,interpretation
channel_dropout_0.1,roc_auc,True,primary,9,-0.027751542947737913,1.0,0.0016431872487889122,0.0048828125,primary
channel_dropout_0.1,balanced_accuracy,True,secondary,9,-0.19826081007115487,1.0,4.5000423819431965e-05,0.0048828125,secondary
channel_dropout_0.1,brier_score,True,calibration,9,0.17120126312340858,1.0,2.7293452557037952e-06,0.0048828125,calibration_optional
channel_dropout_0.1,ece,True,calibration,9,0.198759023651223,1.0,2.5085559825664992e-06,0.0048828125,calibration_optional
channel_dropout_0.2,roc_auc,True,primary,9,-0.0572142951512749,1.0,0.0011807069631299826,0.0048828125,primary
channel_dropout_0.2,balanced_accuracy,True,secondary,9,-0.260944170771757,1.0,8.54189430481905e-05,0.0048828125,secondary
channel_dropout_0.2,brier_score,True,calibration,9,0.24245658694288613,1.0,3.5032714504896363e-06,0.0048828125,calibration_optional
channel_dropout_0.2,ece,True,calibration,9,0.26375842920747566,1.0,2.146807898266359e-08,0.0048828125,calibration_optional
channel_dropout_0.3,roc_auc,True,primary,9,-0.10519996980163449,1.0,0.0004581691223821019,0.0048828125,primary
channel_dropout_0.3,balanced_accuracy,True,secondary,9,-0.285919540229885,1.0,9.258240727738889e-05,0.0048828125,secondary
channel_dropout_0.3,brier_score,True,calibration,9,0.2743438057091056,1.0,1.801067774512842e-06,0.0048828125,calibration_optional
channel_dropout_0.3,ece,True,calibration,9,0.28851484490531343,1.0,5.039197751175364e-09,0.0048828125,calibration_optional
channel_dropout_0.5,roc_auc,True,primary,9,-0.15346781042976046,1.0,0.00011068393617114078,0.0048828125,primary
channel_dropout_0.5,balanced_accuracy,True,secondary,9,-0.3014313081554461,1.0,0.00011068393617114078,0.0048828125,secondary
channel_dropout_0.5,brier_score,True,calibration,9,0.28664531405474486,1.0,3.5032714504896363e-06,0.0048828125,calibration_optional
channel_dropout_0.5,ece,True,calibration,9,0.29425479022536816,1.0,1.1322907971903663e-08,0.0048828125,calibration_optional
cross_session_0,roc_auc,True,primary,9,-0.0073362156636311605,0.5555555555555556,0.30100951518146857,0.3885135135135135,primary
cross_session_0,balanced_accuracy,True,secondary,9,-0.050179407650671984,0.7777777777777778,0.17621660403218495,0.043402777777777776,secondary
cross_session_0,brier_score,True,calibration,9,0.023112155308375643,0.8888888888888888,0.09213312353784468,0.013786764705882353,calibration_optional
cross_session_0,ece,True,calibration,9,0.012736769391673211,0.5555555555555556,0.42861504264492484,0.5849358974358975,calibration_optional
reduced_montage_motor_core,roc_auc,True,primary,9,-0.11067417851008811,1.0,0.0016431872487889122,0.0048828125,primary
reduced_montage_motor_core,balanced_accuracy,True,secondary,9,-0.11412151067323478,1.0,0.0005488263972740167,0.0048828125,secondary
reduced_montage_motor_core,brier_score,True,calibration,9,0.05812190053596909,1.0,0.0006808694397840613,0.0048828125,calibration_optional
reduced_montage_motor_core,ece,True,calibration,9,0.004713783234215636,0.6666666666666666,0.7730074106148626,0.734375,calibration_optional
reduced_montage_motor_extended,roc_auc,True,primary,9,-0.04940830077572048,1.0,0.01900158289453569,0.0048828125,primary
reduced_montage_motor_extended,balanced_accuracy,True,secondary,9,-0.057580733442802394,1.0,0.00533339754988199,0.0048828125,secondary
reduced_montage_motor_extended,brier_score,True,calibration,9,0.02358484617612235,1.0,0.013019845004682415,0.0048828125,calibration_optional
reduced_montage_motor_extended,ece,True,calibration,9,0.0046391414805004045,0.6666666666666666,0.572602812165894,0.44819078947368424,calibration_optional
region_dropout_left_motor_strip_0.318182,roc_auc,True,primary,9,-0.0970254609969235,0.8888888888888888,0.0006038855805170832,0.00946969696969697,primary
region_dropout_left_motor_strip_0.318182,balanced_accuracy,True,secondary,9,-0.3203065134099617,1.0,0.00018475882190334203,0.0048828125,secondary
region_dropout_left_motor_strip_0.318182,brier_score,True,calibration,9,0.34821675696508625,1.0,2.7205326858591667e-05,0.0048828125,calibration_optional
region_dropout_left_motor_strip_0.318182,ece,True,calibration,9,0.3571139394103049,1.0,3.5363867890358415e-07,0.0048828125,calibration_optional
region_dropout_midline_motor_strip_0.136364,roc_auc,True,primary,9,-0.02148141856821993,0.8888888888888888,0.07102820794859291,0.03125,primary
region_dropout_midline_motor_strip_0.136364,balanced_accuracy,True,secondary,9,-0.1987000547345375,1.0,0.00037562121929735927,0.0048828125,secondary
region_dropout_midline_motor_strip_0.136364,brier_score,True,calibration,9,0.18025618232189178,1.0,0.0006808694397840613,0.0048828125,calibration_optional
region_dropout_midline_motor_strip_0.136364,ece,True,calibration,9,0.2177252525392734,1.0,0.00041777593765564573,0.0048828125,calibration_optional
region_dropout_right_motor_strip_0.318182,roc_auc,True,primary,9,-0.16577109638940785,1.0,0.0009288060361743961,0.0048828125,primary
region_dropout_right_motor_strip_0.318182,balanced_accuracy,True,secondary,9,-0.316871921182266,1.0,0.00018515529441716014,0.0048828125,secondary
region_dropout_right_motor_strip_0.318182,brier_score,True,calibration,9,0.31783157946225055,1.0,0.000293900429207009,0.0048828125,calibration_optional
region_dropout_right_motor_strip_0.318182,ece,True,calibration,9,0.3131529768853135,1.0,7.244972222498458e-05,0.0048828125,calibration_optional
