dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.1,,,,0.9443358246984882,0.6535467980295567,0.2744736468385173,0.3059546155669528,22,2.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.2,,,,0.9215712587056225,0.5716871921182266,0.35917139417285676,0.3817881481431341,22,4.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.3,,,,0.8919067436724987,0.5723768472906404,0.3745215941322772,0.3847433389293371,22,7.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.5,,,,0.8261177170035672,0.5110591133004926,0.44759549864584164,0.45263168005945004,22,11.0
BNCI2014-001,1,riemann_lr,clean,all_channels,0.0,,,,0.96230677764566,0.8857142857142858,0.08775484976146783,0.12218514569620412,22,0.0
BNCI2014-001,1,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.9591049382716049,0.8958333333333334,0.08978457464101473,0.09310270988595384,22,0.0
BNCI2014-001,1,riemann_lr,reduced_montage,motor_core,0.0,,,,0.8591302870732122,0.7852216748768474,0.16588347156371733,0.1696066269054612,3,0.0
BNCI2014-001,1,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.9487514863258026,0.8752463054187192,0.09720100351212321,0.11785910929459864,9,0.0
BNCI2014-001,1,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.9501443859351113,0.6406403940886699,0.2605837017872882,0.30476515868272325,22,3.0
BNCI2014-001,1,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.8092831662986241,0.5,0.4999986851932179,0.4999991229726836,22,7.0
BNCI2014-001,1,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.8289536266349584,0.5,0.4987673430592821,0.4991737893441265,22,7.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.1,,,,0.6316680822150501,0.5335467980295566,0.3636487858094183,0.3272320738388691,22,2.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.2,,,,0.6066825208085612,0.5179064039408867,0.4003981808469056,0.3805196742446049,22,4.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.3,,,,0.5373662306777646,0.5063177339901478,0.4375091048573479,0.42250797892700637,22,7.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.5,,,,0.5058476303720061,0.5024137931034482,0.4383772264167723,0.42368062980603716,22,11.0
BNCI2014-001,2,riemann_lr,clean,all_channels,0.0,,,,0.6840156276541532,0.6564039408866995,0.22713043491229912,0.1316123736187989,22,0.0
BNCI2014-001,2,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.6589506172839507,0.5625,0.24120464015098303,0.16036872932048718,22,0.0
BNCI2014-001,2,riemann_lr,reduced_montage,motor_core,0.0,,,,0.5500849329030066,0.5353448275862069,0.2499327550752442,0.05368164778300669,3,0.0
BNCI2014-001,2,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.6052998131476134,0.5520935960591133,0.24394788113981214,0.12200506160383759,9,0.0
BNCI2014-001,2,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.5948615593680993,0.527832512315271,0.3438807656259788,0.2894194663213702,22,3.0
BNCI2014-001,2,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.5495413623237643,0.5,0.47699456108357496,0.47778972623705745,22,7.0
BNCI2014-001,2,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.6271105826397146,0.5302955665024631,0.372573905796523,0.33190328661452967,22,7.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.1,,,,0.9933854255138441,0.7577463054187191,0.16952053713088217,0.2450853746748125,22,2.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.2,,,,0.9871258705622559,0.6703571428571429,0.26456681292032563,0.33062151579489013,22,4.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.3,,,,0.9613580771190758,0.5700246305418719,0.3474098749993392,0.3876769656621179,22,7.0
