model_id,model,term,estimate,ci_low,ci_high,p_value,n_subjects,n_subject_condition_rows,status,p_value_bh_fdr
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))",Intercept,0.6550000000000016,0.6282785577967229,0.6817214422032802,0.0,109,1090,fit,
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.1]",-0.07012104994903307,-0.09319652037855111,-0.04704557951951502,2.586761160639367e-09,109,1090,fit,5.820212611438575e-09
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.2]",-0.10019762996942037,-0.12327310039893842,-0.07712215953990233,1.7318782060886836e-17,109,1090,fit,5.195634618266051e-17
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.3]",-0.11137716615698409,-0.13445263658650214,-0.08830169572746605,3.0777936542014968e-21,109,1090,fit,1.3850071443906737e-20
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.5]",-0.12725114678899221,-0.15032661721851026,-0.10417567635947417,3.1428607779593435e-27,109,1090,fit,2.828574700163409e-26
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.motor_core]",-0.006707441386342044,-0.029782911815860097,0.01636802904317601,0.5688738982477421,109,1090,fit,0.5688738982477421
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.motor_extended]",0.013654434250762936,-0.009421036178755114,0.036729904680280985,0.24614314936667758,109,1090,fit,0.2769110430375123
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_left_motor_strip_0.140625]",-0.05764780835881904,-0.08072327878833709,-0.03457233792930099,9.758903408572233e-07,109,1090,fit,1.4638355112858351e-06
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_midline_motor_strip_0.046875]",-0.048389398572886266,-0.07146486900240431,-0.025313928143368216,3.9556297239219314e-05,109,1090,fit,5.085809645042483e-05
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_right_motor_strip_0.140625]",-0.06138379204893113,-0.08445926247844918,-0.03830832161941308,1.850483921435631e-07,109,1090,fit,3.330871058584136e-07
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))",Group Var,1.6819375239483754,1.1832446334616438,2.180630414435107,3.833998579495118e-11,109,1090,fit,
channel_dropout_dose,roc_auc ~ dropout_fraction,Intercept,0.6239325168057966,0.6033133464776704,0.6445516871339229,0.0,109,545,fit,
channel_dropout_dose,roc_auc ~ dropout_fraction,dropout_fraction,-0.23055416081218882,-0.2616598695549645,-0.19944845206941314,8.152187070925857e-48,109,545,fit,8.152187070925857e-48
channel_dropout_dose,roc_auc ~ dropout_fraction,Group Var,2.4419063673359878,1.6577014340860559,3.2261113005859197,1.0405777543673644e-09,109,545,fit,
