dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,protocol_version,mask_seed_scope,selected_channels,region,dropped_channels,run_signature
PhysionetMotorImagery,1,csp_lda,clean,all_channels,1,0.0,0,64,0,1.0,1.0,0.024799680232963743,0.09679676893289484,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,0,64,6,0.625,0.6000000000000001,0.34484857694898,0.36713400598742457,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,1,64,6,0.625,0.85,0.2518561164301163,0.2787774405980127,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,2,64,6,0.5,0.6,0.44388775203570635,0.4441657373806126,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,3,64,6,0.525,0.8500000000000001,0.3619776158228861,0.39003992581708097,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,4,64,6,0.65,0.45,0.36533428228692383,0.4037561239981053,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,5,64,6,0.5,0.7,0.5555555555555556,0.5555555555555556,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,6,64,6,0.625,0.7,0.33333312892455225,0.33328945422712014,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,7,64,6,0.625,0.3,0.3333357427527519,0.33264585556642806,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,8,64,6,0.5,0.6,0.5555555555555556,0.5555555555555556,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,9,64,6,0.775,0.8,0.211634144235483,0.2432377957776465,0.3.2,participant,,,,a194753f811f8b22d1f47d135db1e90edceeb1d109328e870e97ba67217d4fca
