condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.1,brier_score,calibration,109,0.1418054154215748,0.12523046623616985,0.15838036460697974,0.12894123196661567,0.11389541681486781,0.1490590596853002,1.6243103959401102,large,106,0.9724770642201835,3,0.027522935779816515,7.984628215517488e-27,fdr_significant_ttest
channel_dropout_0.2,brier_score,calibration,109,0.1634392029800183,0.14451702167247432,0.18236138428756227,0.1504521273690132,0.1225298490760281,0.1665642393183221,1.6398852112967313,large,106,0.9724770642201835,3,0.027522935779816515,7.984628215517488e-27,fdr_significant_ttest
channel_dropout_0.3,brier_score,calibration,109,0.16919049298742125,0.14958214110124518,0.18879884487359733,0.1549244945524314,0.12639031491665959,0.1714190558501269,1.6381862518601968,large,105,0.963302752293578,4,0.03669724770642202,1.602762874838463e-25,non_normal_delta_check_wilcoxon
channel_dropout_0.5,brier_score,calibration,109,0.17540613855662227,0.15521472721199003,0.1955975499012545,0.1563648293363038,0.1292904286973104,0.176249990223589,1.6493260734520887,large,106,0.9724770642201835,3,0.027522935779816515,7.984628215517488e-27,fdr_significant_ttest
reduced_montage_motor_core,brier_score,calibration,109,-0.06712557092942716,-0.08305201538833418,-0.05119912647052013,-0.07053327724773067,-0.09801578830698132,-0.043722248960490595,-0.8001982075529436,large,20,0.1834862385321101,89,0.8165137614678899,3.402391282934554e-11,fdr_significant_ttest
reduced_montage_motor_extended,brier_score,calibration,109,-0.04151880647623248,-0.05678950398522967,-0.026248108967235298,-0.045672961405097745,-0.057088271484026565,-0.03196102867092676,-0.5161957197863838,medium,31,0.28440366972477066,78,0.7155963302752294,9.943617691850085e-06,fdr_significant_ttest
region_dropout_left_motor_strip_0.140625,brier_score,calibration,109,0.1255073713103063,0.10592490772976228,0.1450898348908503,0.1152960176890464,0.07827863862586182,0.1386004725541019,1.2168311508975718,large,101,0.926605504587156,8,0.07339449541284404,7.61472487908037e-21,non_normal_delta_check_wilcoxon
region_dropout_midline_motor_strip_0.046875,brier_score,calibration,109,0.12971228046262467,0.11196836803317181,0.14745619289207754,0.12485053509692984,0.10970304219457461,0.13675888050227275,1.3879062206705617,large,102,0.9357798165137615,7,0.06422018348623854,7.087413038346247e-22,non_normal_delta_check_wilcoxon
region_dropout_right_motor_strip_0.140625,brier_score,calibration,109,0.12620084058292505,0.10845339747036821,0.14394828369548188,0.1206010486646153,0.1029808020970146,0.13524587458088272,1.3500655888970807,large,99,0.908256880733945,10,0.09174311926605505,5.831344845014659e-19,fdr_significant_ttest
channel_dropout_0.1,ece,calibration,109,0.11047093240852959,0.0920602435910717,0.12888162122598748,0.09779402895676598,0.0846152765907599,0.12066652685280271,1.1392168374891682,large,98,0.8990825688073395,11,0.10091743119266056,4.346754503943216e-18,non_normal_delta_check_wilcoxon
