condition,stressor,montage,dropout_fraction,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,delta_sd,cohens_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,shapiro_p_value_delta,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr
channel_dropout_0.1,channel_dropout,all_channels,0.1,roc_auc,primary,109,0.6549999999999999,0.5848789500509685,-0.07012104994903161,-0.08618078370754585,-0.054061316190517364,-0.07450000000000012,-0.09100000000000008,-0.052000000000000046,0.08458822817596776,-0.8289693667913192,-8.654694275798867,5.217061761917058e-14,724.0,6.269090218306729e-12,3.504828331234894e-09,0.6868265468929994,85,0.7798165137614679,24,0.22018348623853212,1.0434123523834116e-13,1.0747011802811534e-11,5.7351736329298266e-09
channel_dropout_0.1,channel_dropout,all_channels,0.1,balanced_accuracy,secondary,109,0.6192660550458715,0.5250948012232417,-0.09417125382262999,-0.11700343242432557,-0.07133907522093441,-0.08049999999999996,-0.10899999999999999,-0.05699999999999994,0.12025937430567647,-0.7830678844483637,-8.175468730925067,6.157052712567734e-13,804.0,3.3226403928301054e-11,3.778053497089468e-07,0.08507280683684175,81,0.7431192660550459,28,0.25688073394495414,9.637125984888628e-13,4.9839605892451584e-11,5.037404662785958e-07
channel_dropout_0.1,channel_dropout,all_channels,0.1,brier_score,calibration,109,0.3015591550496856,0.44578175343623466,0.1442225983865491,0.1271213913315486,0.16132380544154962,0.1335355003306053,0.10974825217711981,0.1469910009957991,0.09007377246748834,1.6011608533283705,16.71661007881696,9.89015508696612e-32,36.0,3.4484486638023754e-19,1.7808476387094032e-26,0.03540847044211332,105,0.963302752293578,4,0.03669724770642202,8.901139578269509e-31,3.103603797422138e-18,2.137017166451284e-25
channel_dropout_0.1,channel_dropout,all_channels,0.1,ece,calibration,109,0.3496978650592944,0.4619503500515028,0.11225248499220841,0.09330856258130844,0.1311964074031084,0.10347791800216116,0.08503813857870052,0.12399727379000058,0.09977953903448043,1.1250050469106472,11.745397513818448,5.0755346650691015e-21,222.0,4.819068979267611e-17,1.0984371144539348e-17,0.024832501337819942,97,0.8899082568807339,12,0.11009174311926606,1.6610840722044332e-20,1.577149847760309e-16,3.5948851018492406e-17
channel_dropout_0.2,channel_dropout,all_channels,0.2,roc_auc,primary,109,0.6549999999999999,0.5548023700305811,-0.10019762996941897,-0.12194411044477797,-0.07845114949405997,-0.10250000000000004,-0.118,-0.06300000000000006,0.11454089340046902,-0.8747760471807938,-9.132930059220685,4.3487635774077355e-15,643.0,1.0929081920746036e-12,2.489280605223287e-10,0.8115414866759569,87,0.7981651376146789,22,0.2018348623853211,9.209146399216382e-15,2.4590434321678584e-12,4.978561210446574e-10
channel_dropout_0.2,channel_dropout,all_channels,0.2,balanced_accuracy,secondary,109,0.6192660550458715,0.5113593272171254,-0.10790672782874618,-0.13276711552758702,-0.08304634012990532,-0.08300000000000007,-0.11149999999999993,-0.0625,0.13094215500912013,-0.8240793640614091,-8.603641148469196,6.794063791594891e-14,702.5,3.966519754286022e-12,9.593063014050702e-10,0.02990399799698284,86,0.7889908256880734,23,0.21100917431192662,1.1646966499876956e-13,7.933039508572044e-12,1.7267513425291263e-09
channel_dropout_0.2,channel_dropout,all_channels,0.2,brier_score,calibration,109,0.3015591550496856,0.4649252880621504,0.16336613301246478,0.14416498112287843,0.18256728490205112,0.14136349521224661,0.12506656024115148,0.16730294117424427,0.10113439249369001,1.6153370676810812,16.864614101795276,4.957247102232685e-32,34.0,3.2645127371530167e-19,1.7808476387094032e-26,0.02325532132401647,105,0.963302752293578,4,0.03669724770642202,5.948696522679222e-31,3.103603797422138e-18,2.137017166451284e-25
channel_dropout_0.2,channel_dropout,all_channels,0.2,ece,calibration,109,0.3496978650592944,0.4771163149145484,0.12741844985525405,0.10620715923344105,0.14862974047706703,0.11546034523491455,0.08737860863749114,0.1336110369352722,0.11172199477301133,1.1404956572260785,11.907124233521644,2.1930185703132346e-21,208.0,3.358962832581939e-17,1.4578362112536647e-19,0.015611485902406382,99,0.908256880733945,10,0.09174311926605505,7.894866853127644e-21,1.209226619729498e-16,5.831344845014659e-19
channel_dropout_0.3,channel_dropout,all_channels,0.3,roc_auc,primary,109,0.6549999999999999,0.5436228338430174,-0.11137716615698266,-0.1351417701040216,-0.08761256220994373,-0.11600000000000016,-0.15600000000000003,-0.06300000000000017,0.1251705521032003,-0.8898032667072899,-9.28981883705399,1.918251761297277e-15,649.0,1.2464365426074527e-12,9.593063014050702e-10,0.2812613600809899,86,0.7889908256880734,23,0.21100917431192662,4.3160664629188735e-15,2.639512678462841e-12,1.7267513425291263e-09
channel_dropout_0.3,channel_dropout,all_channels,0.3,balanced_accuracy,secondary,109,0.6192660550458715,0.5091941896024464,-0.11007186544342507,-0.1353812436849229,-0.08476248720192722,-0.09149999999999991,-0.127,-0.06799999999999995,0.1333070332220597,-0.8257018612069025,-8.620580515977979,6.224193334044916e-14,722.0,6.00968726178295e-12,1.2159603232656297e-08,0.11515396616392781,84,0.7706422018348624,25,0.22935779816513763,1.1203548001280849e-13,1.0747011802811534e-11,1.8239404848984447e-08
channel_dropout_0.3,channel_dropout,all_channels,0.3,brier_score,calibration,109,0.3015591550496856,0.47033965875739703,0.16878050370771158,0.14929169358922498,0.1882693138261982,0.15163657196787805,0.1283270814223224,0.17620338802907276,0.10264951723167087,1.6442405990745084,17.16637582873257,1.2228444498395331e-32,28.0,2.768904725271747e-19,3.778133811389131e-25,0.04750101707733425,104,0.9541284403669725,5,0.045871559633027525,4.402240019422319e-31,3.103603797422138e-18,3.400320430250218e-24
channel_dropout_0.3,channel_dropout,all_channels,0.3,ece,calibration,109,0.3496978650592944,0.4811304090962086,0.13143254403691423,0.10987898496670889,0.15298610310711958,0.11732063331493453,0.08458946332039119,0.1440453677103296,0.11352475701336895,1.1577434516898937,12.087196494326564,8.632355774445408e-22,204.0,3.0288389017617046e-17,1.4578362112536647e-19,0.021206931728815093,99,0.908256880733945,10,0.09174311926605505,3.884560098500434e-21,1.209226619729498e-16,5.831344845014659e-19
channel_dropout_0.5,channel_dropout,all_channels,0.5,roc_auc,primary,109,0.6549999999999999,0.5277488532110092,-0.12725114678899085,-0.15292163865058386,-0.10158065492739785,-0.14500000000000002,-0.16000000000000003,-0.07600000000000007,0.13520905487156962,-0.941143674954775,-9.825828435450333,1.1614597702873776e-16,566.0,1.9665928506871813e-13,6.112691638091425e-11,0.38603570400600284,88,0.8073394495412844,21,0.1926605504587156,2.986610837881828e-16,4.719822841649235e-13,1.3115397305230125e-10
channel_dropout_0.5,channel_dropout,all_channels,0.5,balanced_accuracy,secondary,109,0.6192660550458715,0.5059954128440366,-0.11327064220183489,-0.13929411137751366,-0.08724717302615612,-0.08899999999999997,-0.1225,-0.07499999999999996,0.13706822178141945,-0.8263814962337938,-8.627676113972917,5.999879033790476e-14,712.0,4.8584323852903495e-12,1.2159603232656297e-08,0.03295601598481687,84,0.7706422018348624,25,0.22935779816513763,1.1203548001280849e-13,9.205450835286978e-12,1.8239404848984447e-08
channel_dropout_0.5,channel_dropout,all_channels,0.5,brier_score,calibration,109,0.3015591550496856,0.47338423295554494,0.1718250779058594,0.1516741798508373,0.1919759759608815,0.14430076842474404,0.13509723579846616,0.1696178736630326,0.10613680078757219,1.6189019890448668,16.90183297351336,4.168664328744291e-32,31.0,3.006635946802775e-19,6.653856846264573e-28,0.02806809094744105,106,0.9724770642201835,3,0.027522935779816515,5.948696522679222e-31,3.103603797422138e-18,2.3953884646552464e-26
channel_dropout_0.5,channel_dropout,all_channels,0.5,ece,calibration,109,0.3496978650592944,0.4835337998759148,0.13383593481662057,0.11168651834958697,0.15598535128365415,0.12102628598177856,0.09142356327458112,0.14291747377882558,0.11666319767503466,1.1471992666395152,11.97711197051394,1.526000656325405e-21,196.0,2.4616712880236636e-17,1.3281749873159826e-18,0.02011011780288317,98,0.8990825688073395,11,0.10091743119266056,6.10400262530162e-21,1.1077520796106487e-16,4.7814299543375374e-18
reduced_montage_motor_core,reduced_montage,motor_core,0.0,roc_auc,primary,109,0.6549999999999999,0.6482925586136596,-0.006707441386340476,-0.03464549175753398,0.021230608984853027,-0.019999999999999907,-0.04999999999999993,0.020000000000000018,0.14715251293237058,-0.04558156196369633,-0.4758854780558884,0.635117190947908,2637.0,0.5315164423424357,0.6274309770786344,0.8705301693472692,56,0.5137614678899083,50,0.45871559633027525,0.635117190947908,0.5467026264093624,0.6453575764237383
reduced_montage_motor_core,reduced_montage,motor_core,0.0,balanced_accuracy,secondary,109,0.6192660550458715,0.6120489296636084,-0.007217125382262994,-0.03172981822013255,0.017295567455606564,-0.004999999999999893,-0.040000000000000036,0.020000000000000018,0.12911081130954857,-0.055898691279691784,-0.5835994704069475,0.5607066455042696,2781.5,0.6205739788202189,0.923401037594597,0.955927855097368,55,0.5045871559633027,53,0.48623853211009177,0.5767268353758201,0.6205739788202189,0.923401037594597
reduced_montage_motor_core,reduced_montage,motor_core,0.0,brier_score,calibration,109,0.3015591550496856,0.23443358412024984,-0.06712557092943576,-0.08305201538834228,-0.051199126470529245,-0.07053327724752928,-0.09801578830673663,-0.043722248960504,0.08388618006868476,-0.8001982075530718,-8.354314554734891,2.4583479035916994e-13,742.0,9.171535200998743e-12,1.4176630345560641e-11,0.44534065709961945,20,0.1834862385321101,89,0.8165137614678899,4.022751114968235e-13,1.5007966692543397e-11,3.6454192317155933e-11
reduced_montage_motor_core,reduced_montage,motor_core,0.0,ece,calibration,109,0.3496978650592944,0.2855387702348317,-0.0641590948244626,-0.08326465182087586,-0.045053537828049335,-0.07089198746469377,-0.09470207261526037,-0.047632140009241486,0.10063088460509287,-0.6375686259366893,-6.656411875243973,1.2052526554947364e-09,1058.0,4.52959238858791e-09,3.778053497089468e-07,0.6378519901595048,28,0.25688073394495414,81,0.7431192660550459,1.6070035406596486e-09,6.039456518117214e-09,5.037404662785958e-07
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,roc_auc,primary,109,0.6549999999999999,0.6686544342507645,0.013654434250764522,-0.01311523093033447,0.040424099431863515,0.020000000000000018,-0.010000000000000009,0.04999999999999993,0.14099851097049254,0.09684098191378811,1.0110495338038108,0.3142525206842757,2373.0,0.19044768385188138,0.1715646971542424,0.2522556220853942,45,0.41284403669724773,60,0.5504587155963303,0.33273796307746845,0.2077611096565979,0.1859720541298729
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,balanced_accuracy,secondary,109,0.6192660550458715,0.63065749235474,0.011391437308868506,-0.010362083805110235,0.033144958422847245,0.014999999999999902,-0.02499999999999991,0.03500000000000003,0.11457797715011438,0.09942082756395682,1.0379839131372517,0.30159590406030834,2524.0,0.2565968317176096,0.17564027334487994,0.8585265841023585,46,0.42201834862385323,61,0.5596330275229358,0.32901371352033637,0.2716907629951161,0.1859720541298729
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,brier_score,calibration,109,0.3015591550496856,0.2600403485734352,-0.04151880647625039,-0.05678950398524413,-0.026248108967256652,-0.045672961405492096,-0.05708827148401241,-0.03196102867084927,0.08043229512519934,-0.5161957197867229,-5.38924153316109,4.187478876502602e-07,1340.0,5.413782954858736e-07,7.733924871438954e-06,0.298991938383697,31,0.28440366972477066,78,0.7155963302752294,4.862878695293343e-07,6.496539545830483e-07,9.943617691850085e-06
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,ece,calibration,109,0.3496978650592944,0.3275533315772027,-0.022144533482091645,-0.03915313496722717,-0.005135931996956118,-0.02381325619055974,-0.03774287259870179,-0.016218796002840596,0.08958600964452416,-0.24718740760929966,-2.5807123005840964,0.011201353843726745,2107.0,0.007098160451726426,0.002033169531309131,0.28992166664130425,38,0.3486238532110092,71,0.6513761467889908,0.01260152307419259,0.00798543050819223,0.0022873157227227725
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,roc_auc,primary,109,0.6549999999999999,0.5973521916411826,-0.057647808358817526,-0.07703543337619784,-0.038260183341437215,-0.04999999999999993,-0.07999999999999996,-0.020000000000000018,0.10211656515730348,-0.5645294499478618,-5.893860490762354,4.358942250568714e-08,1150.0,4.970146412176467e-07,0.00015323388084216913,0.15939535364915813,71,0.6513761467889908,32,0.29357798165137616,5.6043543221597754e-08,6.169836925460442e-07,0.00017794902291348673
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,balanced_accuracy,secondary,109,0.6192660550458715,0.5317584097859328,-0.08750764525993883,-0.11041276365157568,-0.06460252686830198,-0.07500000000000007,-0.10999999999999999,-0.050000000000000044,0.12064355549369829,-0.7253404038188324,-7.572776139165561,1.3137399368778374e-11,805.5,1.5680997195131043e-10,1.4269643738923103e-07,0.004667910589080378,80,0.7339449541284404,26,0.23853211009174313,1.819024527984698e-11,2.1712149962489136e-10,2.054828698404927e-07
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,brier_score,calibration,109,0.3015591550496856,0.42706652636008907,0.1255073713104036,0.1059249077298604,0.1450898348909468,0.11529601768897663,0.07827863862559942,0.13860047255406427,0.10314279940789074,1.2168311508985659,12.704090184971411,3.604231687753725e-23,115.0,2.9200263170605033e-18,1.2691208131800615e-21,0.00037745778769269605,101,0.926605504587156,8,0.07339449541284404,1.85360486798763e-22,1.752015790236302e-17,7.61472487908037e-21
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,ece,calibration,109,0.3496978650592944,0.44723923953229056,0.09754137447299625,0.07703868811809007,0.11804406082790243,0.09014033024405241,0.05165976698398672,0.10567927657279108,0.10798970504038735,0.9032469755937985,9.430175278445702,9.213832510781362e-16,451.0,1.3745258231529139e-14,3.706124137990574e-15,0.00025525720242292575,94,0.8623853211009175,15,0.13761467889908258,2.2113198025875267e-15,3.5344949738217786e-14,1.0263112997512359e-14
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,roc_auc,primary,109,0.6549999999999999,0.6066106014271152,-0.04838939857288481,-0.06557603495046758,-0.03120276219530203,-0.050000000000000044,-0.060000000000000164,-0.029999999999999916,0.09052373727638033,-0.5345492798772316,-5.580858326035708,1.7945624273514558e-07,1095.0,1.9029223586010653e-07,1.0705258229134963e-05,0.48092150546701984,74,0.6788990825688074,29,0.26605504587155965,2.2277326684362898e-07,2.4466144610585125e-07,1.2846309874961955e-05
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,balanced_accuracy,secondary,109,0.6192660550458715,0.5322782874617737,-0.08698776758409786,-0.10864184331052346,-0.06533369185767227,-0.07499999999999996,-0.10499999999999998,-0.04500000000000004,0.11405418832148988,-0.7626880596344378,-7.962697113269779,1.8254222689988602e-12,707.0,1.9574309670288076e-11,1.0168289347541834e-09,0.030970170222031048,84,0.7706422018348624,22,0.2018348623853211,2.6286080673583586e-12,3.0638049918711774e-11,1.7431353167214571e-09
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,brier_score,calibration,109,0.3015591550496856,0.4312714355123316,0.12971228046264605,0.11196836803320764,0.14745619289208445,0.12485053509617583,0.10970304219455199,0.13675888050207713,0.09345896612513845,1.3879062206719217,14.490166349438509,4.4538596569246074e-27,52.0,5.339517438221614e-19,9.843629219925343e-23,0.002569676419936657,102,0.9357798165137615,7,0.06422018348623854,3.206778952985717e-26,3.844452555519561e-18,7.087413038346247e-22
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,ece,calibration,109,0.3496978650592944,0.449023625069969,0.09932576001067464,0.07984359868038872,0.11880792134096056,0.08845287292476339,0.0677156647331138,0.1080423866726396,0.10261449739747745,0.9679505579600134,10.105700510573525,2.6784245826288202e-17,399.0,3.968688935272455e-15,6.112691638091425e-11,0.0004659283360435497,88,0.8073394495412844,21,0.1926605504587156,7.41717576727981e-17,1.0990215513062183e-14,1.3115397305230125e-10
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,roc_auc,primary,109,0.6549999999999999,0.5936162079510703,-0.06138379204892968,-0.08333958090302673,-0.039428003194832625,-0.04499999999999993,-0.06999999999999995,-0.029999999999999916,0.11564334162072362,-0.5308026488048969,-5.541742349264726,2.1360263811413943e-07,1223.0,1.6913442666335189e-06,1.0705258229134963e-05,0.08965750077605973,74,0.6788990825688074,29,0.26605504587155965,2.563231657369673e-07,1.9641417289937638e-06,1.2846309874961955e-05
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,balanced_accuracy,secondary,109,0.6192660550458715,0.529434250764526,-0.08983180428134556,-0.11200639097998617,-0.06765721758270495,-0.08499999999999996,-0.10499999999999998,-0.05500000000000005,0.11679577180897932,-0.7691357562863353,-8.030013042592065,1.2951933402459098e-12,745.5,4.4686798927425167e-11,6.193382060803115e-11,0.07926533491723235,86,0.7889908256880734,20,0.1834862385321101,1.942790010368865e-12,6.434899045549224e-11,1.3115397305230125e-10
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,brier_score,calibration,109,0.3015591550496856,0.42775999563262374,0.12620084058293815,0.10845339747038898,0.14394828369548732,0.12060104866459787,0.10298080209765342,0.13524587458047088,0.0934775625871397,1.3500655888978046,14.095098555225906,3.168588714365523e-26,121.0,3.426492225293898e-18,1.4578362112536647e-19,0.056288352607967065,99,0.908256880733945,10,0.09174311926605505,1.901153228619314e-25,1.762196001579719e-17,5.831344845014659e-19
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,ece,calibration,109,0.3496978650592944,0.44978063002139645,0.10008276496210204,0.0810544947322406,0.11911103519196348,0.0872937120701068,0.07095116256368406,0.11878499642978341,0.10022380745534859,0.9985927246546746,10.425614122962921,5.005148801962425e-18,397.0,3.781688013076292e-15,5.770921348674695e-16,0.013200129798908179,95,0.8715596330275229,14,0.12844036697247707,1.5015446405887277e-17,1.0990215513062183e-14,1.7312764046024084e-15
