condition,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,cohens_dz,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr,shapiro_p_value_delta,pct_worse_than_clean
channel_dropout_0.1,balanced_accuracy,secondary,109,0.6192660550458715,0.5250550458715596,-0.09421100917431194,-0.11631275954730336,-0.07210925880132052,-0.08550000000000002,-0.809288556616009,2.467553745173356e-13,1.3707991242988167e-11,1.7267513425291263e-09,0.3058521912468923,0.7889908256880734
channel_dropout_0.2,balanced_accuracy,secondary,109,0.6192660550458715,0.5122262996941896,-0.10703975535168195,-0.13192008564886493,-0.08215942505449897,-0.08850000000000002,-0.8168031037795755,1.810817604433685e-13,1.1900612439643756e-11,1.8239404848984447e-08,0.0847976435276873,0.7706422018348624
channel_dropout_0.3,balanced_accuracy,secondary,109,0.6192660550458715,0.5074495412844036,-0.11181651376146788,-0.1374329771557436,-0.08620005036719218,-0.09150000000000008,-0.8287340629729454,1.0011445803639301e-13,1.0459652334154593e-11,5.7351736329298266e-09,0.06724656998659195,0.7798165137614679
channel_dropout_0.5,balanced_accuracy,secondary,109,0.6192660550458715,0.5046788990825687,-0.11458715596330275,-0.14078698363732484,-0.08838732828928067,-0.09699999999999998,-0.8303590410521529,9.679194672372326e-14,8.770374495169758e-12,2.711424674746483e-08,0.04821496097485401,0.7614678899082569
reduced_montage_motor_core,balanced_accuracy,secondary,109,0.6192660550458715,0.6120489296636084,-0.007217125382262994,-0.03172981822013255,0.017295567455606564,-0.004999999999999893,-0.055898691279691784,0.5767268353758201,0.6205739788202189,0.923401037594597,0.955927855097368,0.5045871559633027
reduced_montage_motor_extended,balanced_accuracy,secondary,109,0.6192660550458715,0.63065749235474,0.011391437308868506,-0.010362083805110235,0.033144958422847245,0.014999999999999902,0.09942082756395682,0.32901371352033637,0.2716907629951161,0.1859720541298729,0.8585265841023585,0.42201834862385323
region_dropout_left_motor_strip_0.140625,balanced_accuracy,secondary,109,0.6192660550458715,0.5317584097859328,-0.08750764525993883,-0.11041276365157568,-0.06460252686830198,-0.07500000000000007,-0.7253404038188324,1.819024527984698e-11,2.1712149962489136e-10,1.9757968253893528e-07,0.004667910589080378,0.7339449541284404
region_dropout_midline_motor_strip_0.046875,balanced_accuracy,secondary,109,0.6192660550458715,0.5322782874617737,-0.08698776758409786,-0.10864184331052346,-0.06533369185767227,-0.07499999999999996,-0.7626880596344378,2.6286080673583586e-12,2.936146450543212e-11,1.7431353167214571e-09,0.030970170222031048,0.7706422018348624
region_dropout_right_motor_strip_0.140625,balanced_accuracy,secondary,109,0.6192660550458715,0.529434250764526,-0.08983180428134556,-0.11200639097998617,-0.06765721758270495,-0.08499999999999996,-0.7691357562863353,1.942790010368865e-12,6.434899045549224e-11,1.3115397305230125e-10,0.07926533491723235,0.7889908256880734
channel_dropout_0.1,roc_auc,primary,109,0.6549999999999999,0.5897959989806318,-0.06520400101936799,-0.08047229714343493,-0.049935704895301046,-0.062000000000000055,-0.810796908741123,2.3834639060193237e-13,1.6978224411600534e-11,1.7267513425291263e-09,0.9737301414298158,0.7889908256880734
channel_dropout_0.2,roc_auc,primary,109,0.6549999999999999,0.5532094801223241,-0.10179051987767583,-0.12318552012844462,-0.08039551962690704,-0.10249999999999992,-0.9032821947091921,1.9511645317595948e-15,1.364007849844486e-12,3.402391282934554e-11,0.6120544708668827,0.8165137614678899
channel_dropout_0.3,roc_auc,primary,109,0.6549999999999999,0.5432721712538227,-0.1117278287461774,-0.13483872036976058,-0.08861693712259423,-0.11499999999999999,-0.9178528718207675,9.959778179930009e-16,6.943683288928707e-13,1.8239404848984447e-08,0.4800078285107525,0.7706422018348624
channel_dropout_0.5,roc_auc,primary,109,0.6549999999999999,0.5273112895005097,-0.12768871049949035,-0.15336870257378088,-0.10200871842519982,-0.12950000000000006,-0.9440305065467329,2.550290556753797e-16,4.938331126185935e-13,4.978561210446574e-10,0.43799347670105104,0.7981651376146789
reduced_montage_motor_core,roc_auc,primary,109,0.6549999999999999,0.6482925586136596,-0.006707441386340476,-0.03464549175753398,0.021230608984853027,-0.019999999999999907,-0.04558156196369633,0.635117190947908,0.5467026264093624,0.6453575764237383,0.8705301693472692,0.5137614678899083
reduced_montage_motor_extended,roc_auc,primary,109,0.6549999999999999,0.6686544342507645,0.013654434250764522,-0.01311523093033447,0.040424099431863515,0.020000000000000018,0.09684098191378811,0.33273796307746845,0.2077611096565979,0.1859720541298729,0.2522556220853942,0.41284403669724773
region_dropout_left_motor_strip_0.140625,roc_auc,primary,109,0.6549999999999999,0.5973521916411826,-0.057647808358817526,-0.07703543337619784,-0.038260183341437215,-0.04999999999999993,-0.5645294499478618,5.6043543221597754e-08,6.169836925460442e-07,0.00017794902291348673,0.15939535364915813,0.6513761467889908
region_dropout_midline_motor_strip_0.046875,roc_auc,primary,109,0.6549999999999999,0.6066106014271152,-0.04838939857288481,-0.06557603495046758,-0.03120276219530203,-0.050000000000000044,-0.5345492798772316,2.2277326684362898e-07,2.4466144610585125e-07,1.2846309874961955e-05,0.48092150546701984,0.6788990825688074
region_dropout_right_motor_strip_0.140625,roc_auc,primary,109,0.6549999999999999,0.5936162079510703,-0.06138379204892968,-0.08333958090302673,-0.039428003194832625,-0.04499999999999993,-0.5308026488048969,2.563231657369673e-07,1.9641417289937638e-06,1.2846309874961955e-05,0.08965750077605973,0.6788990825688074
