condition,metric,available,role,n_subjects,mean_delta_condition_minus_clean,pct_worse_than_clean,ttest_fdr,wilcoxon_fdr,interpretation
channel_dropout_0.1,roc_auc,True,primary,109,-0.07012104994903161,0.7798165137614679,1.0434123523834116e-13,1.0747011802811534e-11,primary
channel_dropout_0.1,balanced_accuracy,True,secondary,109,-0.09417125382262999,0.7431192660550459,9.637125984888628e-13,4.9839605892451584e-11,secondary
channel_dropout_0.1,brier_score,True,calibration,109,0.1442225983865491,0.963302752293578,8.901139578269509e-31,3.103603797422138e-18,calibration_optional
channel_dropout_0.1,ece,True,calibration,109,0.11225248499220841,0.8899082568807339,1.6610840722044332e-20,1.577149847760309e-16,calibration_optional
channel_dropout_0.2,roc_auc,True,primary,109,-0.10019762996941897,0.7981651376146789,9.209146399216382e-15,2.4590434321678584e-12,primary
channel_dropout_0.2,balanced_accuracy,True,secondary,109,-0.10790672782874618,0.7889908256880734,1.1646966499876956e-13,7.933039508572044e-12,secondary
channel_dropout_0.2,brier_score,True,calibration,109,0.16336613301246478,0.963302752293578,5.948696522679222e-31,3.103603797422138e-18,calibration_optional
channel_dropout_0.2,ece,True,calibration,109,0.12741844985525405,0.908256880733945,7.894866853127644e-21,1.209226619729498e-16,calibration_optional
channel_dropout_0.3,roc_auc,True,primary,109,-0.11137716615698266,0.7889908256880734,4.3160664629188735e-15,2.639512678462841e-12,primary
channel_dropout_0.3,balanced_accuracy,True,secondary,109,-0.11007186544342507,0.7706422018348624,1.1203548001280849e-13,1.0747011802811534e-11,secondary
channel_dropout_0.3,brier_score,True,calibration,109,0.16878050370771158,0.9541284403669725,4.402240019422319e-31,3.103603797422138e-18,calibration_optional
channel_dropout_0.3,ece,True,calibration,109,0.13143254403691423,0.908256880733945,3.884560098500434e-21,1.209226619729498e-16,calibration_optional
channel_dropout_0.5,roc_auc,True,primary,109,-0.12725114678899085,0.8073394495412844,2.986610837881828e-16,4.719822841649235e-13,primary
channel_dropout_0.5,balanced_accuracy,True,secondary,109,-0.11327064220183489,0.7706422018348624,1.1203548001280849e-13,9.205450835286978e-12,secondary
channel_dropout_0.5,brier_score,True,calibration,109,0.1718250779058594,0.9724770642201835,5.948696522679222e-31,3.103603797422138e-18,calibration_optional
channel_dropout_0.5,ece,True,calibration,109,0.13383593481662057,0.8990825688073395,6.10400262530162e-21,1.1077520796106487e-16,calibration_optional
reduced_montage_motor_core,roc_auc,True,primary,109,-0.006707441386340476,0.5137614678899083,0.635117190947908,0.5467026264093624,primary
reduced_montage_motor_core,balanced_accuracy,True,secondary,109,-0.007217125382262994,0.5045871559633027,0.5767268353758201,0.6205739788202189,secondary
reduced_montage_motor_core,brier_score,True,calibration,109,-0.06712557092943576,0.1834862385321101,4.022751114968235e-13,1.5007966692543397e-11,calibration_optional
reduced_montage_motor_core,ece,True,calibration,109,-0.0641590948244626,0.25688073394495414,1.6070035406596486e-09,6.039456518117214e-09,calibration_optional
reduced_montage_motor_extended,roc_auc,True,primary,109,0.013654434250764522,0.41284403669724773,0.33273796307746845,0.2077611096565979,primary
reduced_montage_motor_extended,balanced_accuracy,True,secondary,109,0.011391437308868506,0.42201834862385323,0.32901371352033637,0.2716907629951161,secondary
reduced_montage_motor_extended,brier_score,True,calibration,109,-0.04151880647625039,0.28440366972477066,4.862878695293343e-07,6.496539545830483e-07,calibration_optional
reduced_montage_motor_extended,ece,True,calibration,109,-0.022144533482091645,0.3486238532110092,0.01260152307419259,0.00798543050819223,calibration_optional
region_dropout_left_motor_strip_0.140625,roc_auc,True,primary,109,-0.057647808358817526,0.6513761467889908,5.6043543221597754e-08,6.169836925460442e-07,primary
region_dropout_left_motor_strip_0.140625,balanced_accuracy,True,secondary,109,-0.08750764525993883,0.7339449541284404,1.819024527984698e-11,2.1712149962489136e-10,secondary
region_dropout_left_motor_strip_0.140625,brier_score,True,calibration,109,0.1255073713104036,0.926605504587156,1.85360486798763e-22,1.752015790236302e-17,calibration_optional
region_dropout_left_motor_strip_0.140625,ece,True,calibration,109,0.09754137447299625,0.8623853211009175,2.2113198025875267e-15,3.5344949738217786e-14,calibration_optional
region_dropout_midline_motor_strip_0.046875,roc_auc,True,primary,109,-0.04838939857288481,0.6788990825688074,2.2277326684362898e-07,2.4466144610585125e-07,primary
region_dropout_midline_motor_strip_0.046875,balanced_accuracy,True,secondary,109,-0.08698776758409786,0.7706422018348624,2.6286080673583586e-12,3.0638049918711774e-11,secondary
region_dropout_midline_motor_strip_0.046875,brier_score,True,calibration,109,0.12971228046264605,0.9357798165137615,3.206778952985717e-26,3.844452555519561e-18,calibration_optional
region_dropout_midline_motor_strip_0.046875,ece,True,calibration,109,0.09932576001067464,0.8073394495412844,7.41717576727981e-17,1.0990215513062183e-14,calibration_optional
region_dropout_right_motor_strip_0.140625,roc_auc,True,primary,109,-0.06138379204892968,0.6788990825688074,2.563231657369673e-07,1.9641417289937638e-06,primary
region_dropout_right_motor_strip_0.140625,balanced_accuracy,True,secondary,109,-0.08983180428134556,0.7889908256880734,1.942790010368865e-12,6.434899045549224e-11,secondary
region_dropout_right_motor_strip_0.140625,brier_score,True,calibration,109,0.12620084058293815,0.908256880733945,1.901153228619314e-25,1.762196001579719e-17,calibration_optional
region_dropout_right_motor_strip_0.140625,ece,True,calibration,109,0.10008276496210204,0.8715596330275229,1.5015446405887277e-17,1.0990215513062183e-14,calibration_optional
