dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.1,,0.598,0.528,0.4259964872323546,0.4391887028212404,64,6.0
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.2,,0.5335,0.508,0.45215023105256735,0.4599669140748107,64,13.0
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.3,,0.535,0.5035000000000001,0.47124105248699294,0.476100158798304,64,19.0
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,0.5,,0.5780000000000001,0.51,0.4544556980151652,0.4614854756500159,64,32.0
PhysionetMotorImagery,1,csp_lda,clean,all_channels,0.0,,0.8099999999999999,0.78,0.20415858734797937,0.2699873015943175,64,0.0
PhysionetMotorImagery,1,csp_lda,reduced_montage,motor_core,0.0,,0.85,0.725,0.18472299510631982,0.3158179435035075,3,0.0
PhysionetMotorImagery,1,csp_lda,reduced_montage,motor_extended,0.0,,0.9400000000000001,0.865,0.10437393955648784,0.1753005776841658,9,0.0
PhysionetMotorImagery,1,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,0.86,0.6849999999999999,0.2845611415086644,0.31177725447925675,64,3.0
PhysionetMotorImagery,1,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,0.6,0.52,0.43058534827484307,0.4322046661985012,64,9.0
PhysionetMotorImagery,1,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,0.5900000000000001,0.5700000000000001,0.38193070729505,0.39664625404241216,64,9.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.1,,0.7434999999999999,0.5535,0.4194132675237473,0.4415703321313393,64,6.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.2,,0.6945,0.5385,0.4319506484503411,0.45037867893598765,64,13.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.3,,0.611,0.565,0.4098461332025192,0.4321582651260841,64,19.0
PhysionetMotorImagery,2,csp_lda,channel_dropout,all_channels,0.5,,0.61,0.5315,0.4511382687497115,0.46691498872860415,64,32.0
PhysionetMotorImagery,2,csp_lda,clean,all_channels,0.0,,0.95,0.915,0.09604578574939862,0.15191622388199236,64,0.0
PhysionetMotorImagery,2,csp_lda,reduced_montage,motor_core,0.0,,0.65,0.615,0.2443772058391848,0.27436759033479385,3,0.0
PhysionetMotorImagery,2,csp_lda,reduced_montage,motor_extended,0.0,,0.9099999999999999,0.8699999999999999,0.11725939843572857,0.15706839347619234,9,0.0
PhysionetMotorImagery,2,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,0.93,0.75,0.2433862159525364,0.2881376434677515,64,3.0
PhysionetMotorImagery,2,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,0.82,0.575,0.4276277943098988,0.4422283880142679,64,9.0
PhysionetMotorImagery,2,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,0.5900000000000001,0.515,0.39882603769124847,0.44462265699221576,64,9.0
PhysionetMotorImagery,3,csp_lda,channel_dropout,all_channels,0.1,,0.48300000000000004,0.512,0.49643344214886015,0.5030173300136129,64,6.0
PhysionetMotorImagery,3,csp_lda,channel_dropout,all_channels,0.2,,0.5555,0.491,0.5043789104315406,0.5192447115959216,64,13.0
PhysionetMotorImagery,3,csp_lda,channel_dropout,all_channels,0.3,,0.493,0.5065,0.5174882887599016,0.5229937814340416,64,19.0
PhysionetMotorImagery,3,csp_lda,channel_dropout,all_channels,0.5,,0.5075,0.517,0.49246854143486973,0.5042801932342975,64,32.0
PhysionetMotorImagery,3,csp_lda,clean,all_channels,0.0,,0.5700000000000001,0.51,0.38668518997174034,0.438316066359278,64,0.0
PhysionetMotorImagery,3,csp_lda,reduced_montage,motor_core,0.0,,0.45999999999999996,0.4699999999999999,0.28792924971504014,0.3641677901987108,3,0.0
PhysionetMotorImagery,3,csp_lda,reduced_montage,motor_extended,0.0,,0.5199999999999999,0.465,0.35977712472942547,0.4181254081022837,9,0.0
PhysionetMotorImagery,3,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,0.47000000000000003,0.5,0.5245787747166295,0.5342243264488402,64,3.0
PhysionetMotorImagery,3,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,0.68,0.5599999999999999,0.44978199038374367,0.4705352355864991,64,9.0
PhysionetMotorImagery,3,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,0.54,0.51,0.42686544006198596,0.45845359967793514,64,9.0
PhysionetMotorImagery,4,csp_lda,channel_dropout,all_channels,0.1,,0.5529999999999999,0.511,0.4610946288037335,0.47194483630413214,64,6.0
