subject,clean_auc,dropout50_auc,worst_dropout_auc,worst_dropout_delta,best_montage,best_montage_auc,clean_working_threshold,failure_threshold,clean_working,dropout_failure_at_50pct,montage_rescue,intervention_class
8,0.66,0.417,0.417,-0.24300000000000005,motor_extended,0.77,0.6,0.6,True,True,True,A_high
15,0.8699999999999999,0.546,0.546,-0.32399999999999984,motor_extended,0.91,0.6,0.6,True,True,True,A_high
24,0.6300000000000001,0.538,0.538,-0.09200000000000008,motor_extended,0.64,0.6,0.6,True,True,True,A_high
27,0.64,0.553,0.545,-0.09499999999999997,motor_extended,0.68,0.6,0.6,True,True,True,A_high
33,0.72,0.555,0.555,-0.16499999999999992,motor_core,0.8400000000000001,0.6,0.6,True,True,True,A_high
41,0.64,0.4529999999999999,0.445,-0.195,motor_extended,0.73,0.6,0.6,True,True,True,A_high
61,0.6799999999999999,0.596,0.596,-0.08399999999999996,motor_core,0.85,0.6,0.6,True,True,True,A_high
68,0.62,0.537,0.537,-0.08299999999999996,motor_extended,0.6699999999999999,0.6,0.6,True,True,True,A_high
71,0.85,0.57,0.57,-0.28,motor_core,0.94,0.6,0.6,True,True,True,A_high
75,0.78,0.536,0.536,-0.244,motor_core,0.8300000000000001,0.6,0.6,True,True,True,A_high
76,0.6900000000000001,0.5710000000000001,0.5710000000000001,-0.119,motor_extended,0.7,0.6,0.6,True,True,True,A_high
80,0.64,0.546,0.544,-0.09599999999999997,motor_core,0.63,0.6,0.6,True,True,True,A_high
81,0.85,0.598,0.598,-0.252,motor_core,0.73,0.6,0.6,True,True,True,A_high
82,0.76,0.5820000000000001,0.5820000000000001,-0.17799999999999994,motor_core,0.71,0.6,0.6,True,True,True,A_high
84,0.67,0.579,0.556,-0.11399999999999999,motor_core,0.73,0.6,0.6,True,True,True,A_high
86,0.8,0.437,0.437,-0.36300000000000004,motor_extended,0.6799999999999999,0.6,0.6,True,True,True,A_high
89,0.6900000000000001,0.564,0.564,-0.1260000000000001,motor_core,0.79,0.6,0.6,True,True,True,A_high
92,0.7088888888888889,0.5473333333333333,0.5473333333333333,-0.16155555555555556,motor_extended,0.8400000000000001,0.6,0.6,True,True,True,A_high
105,0.8699999999999999,0.5479999999999999,0.5479999999999999,-0.32199999999999995,motor_extended,0.79,0.6,0.6,True,True,True,A_high
1,0.92,0.6920000000000001,0.6920000000000001,-0.22799999999999998,motor_extended,0.92,0.6,0.6,True,False,True,B_fragile
2,0.93,0.657,0.657,-0.273,motor_extended,0.91,0.6,0.6,True,False,True,B_fragile
22,0.92,0.6579999999999999,0.6579999999999999,-0.2620000000000001,motor_core,0.63,0.6,0.6,True,False,True,B_fragile
26,0.82,0.6,0.6,-0.21999999999999997,motor_extended,0.91,0.6,0.6,True,False,True,B_fragile
29,0.99,0.774,0.774,-0.21599999999999997,motor_extended,1.0,0.6,0.6,True,False,True,B_fragile
32,0.96,0.7140000000000001,0.7140000000000001,-0.24599999999999989,motor_extended,0.91,0.6,0.6,True,False,True,B_fragile
35,0.8800000000000001,0.649,0.649,-0.2310000000000001,motor_extended,0.8,0.6,0.6,True,False,True,B_fragile
42,0.99,0.6990000000000001,0.6990000000000001,-0.2909999999999999,motor_extended,0.98,0.6,0.6,True,False,True,B_fragile
43,0.8699999999999999,0.633,0.633,-0.23699999999999988,motor_extended,0.98,0.6,0.6,True,False,True,B_fragile
49,0.95,0.711,0.711,-0.239,motor_extended,0.91,0.6,0.6,True,False,True,B_fragile
51,0.8,0.516,0.516,-0.28400000000000003,motor_core,0.5,0.6,0.6,True,True,False,B_fragile
52,0.9,0.634,0.634,-0.266,motor_extended,0.9,0.6,0.6,True,False,True,B_fragile
55,1.0,0.773,0.773,-0.22699999999999998,motor_core,0.96,0.6,0.6,True,False,True,B_fragile
70,0.95,0.736,0.736,-0.21399999999999997,motor_extended,0.86,0.6,0.6,True,False,True,B_fragile
85,0.93,0.691,0.691,-0.2390000000000001,motor_core,0.99,0.6,0.6,True,False,True,B_fragile
94,0.96,0.674,0.674,-0.2859999999999999,motor_extended,0.96,0.6,0.6,True,False,True,B_fragile
96,0.86,0.653,0.653,-0.20699999999999996,motor_extended,0.5599999999999999,0.6,0.6,True,False,False,B_fragile
103,0.6599999999999999,0.45,0.45,-0.2099999999999999,motor_extended,0.55,0.6,0.6,True,True,False,B_fragile
107,0.62,0.3969999999999999,0.3969999999999999,-0.2230000000000001,motor_core,0.47,0.6,0.6,True,True,False,B_fragile
9,0.47,0.4429999999999999,0.427,-0.04299999999999998,motor_core,0.68,0.6,0.6,False,False,True,B_rescue_candidate
10,0.58,0.489,0.489,-0.09099999999999997,motor_extended,0.8800000000000001,0.6,0.6,False,False,True,B_rescue_candidate
14,0.52,0.547,0.539,0.019000000000000017,motor_extended,0.65,0.6,0.6,False,False,True,B_rescue_candidate
16,0.56,0.5319999999999999,0.475,-0.08500000000000008,motor_extended,0.71,0.6,0.6,False,False,True,B_rescue_candidate
19,0.58,0.528,0.511,-0.06899999999999995,motor_core,0.78,0.6,0.6,False,False,True,B_rescue_candidate
21,0.52,0.436,0.436,-0.08400000000000002,motor_core,0.74,0.6,0.6,False,False,True,B_rescue_candidate
23,0.58,0.6,0.562,-0.017999999999999905,motor_extended,0.8099999999999999,0.6,0.6,False,False,True,B_rescue_candidate
25,0.5800000000000001,0.423,0.423,-0.15700000000000008,motor_extended,0.82,0.6,0.6,False,False,True,B_rescue_candidate
28,0.3299999999999999,0.424,0.382,0.0520000000000001,motor_core,0.61,0.6,0.6,False,False,True,B_rescue_candidate
45,0.48,0.457,0.457,-0.022999999999999965,motor_extended,0.62,0.6,0.6,False,False,True,B_rescue_candidate
46,0.48,0.445,0.374,-0.10599999999999998,motor_extended,0.8099999999999999,0.6,0.6,False,False,True,B_rescue_candidate
47,0.58,0.6629999999999999,0.5930000000000001,0.013000000000000123,motor_core,0.67,0.6,0.6,False,False,True,B_rescue_candidate
57,0.51,0.38,0.38,-0.13,motor_extended,0.71,0.6,0.6,False,False,True,B_rescue_candidate
64,0.51,0.478,0.439,-0.07100000000000001,motor_extended,0.76,0.6,0.6,False,False,True,B_rescue_candidate
65,0.5900000000000001,0.42,0.42,-0.1700000000000001,motor_core,0.62,0.6,0.6,False,False,True,B_rescue_candidate
73,0.43,0.352,0.352,-0.07800000000000001,motor_core,0.67,0.6,0.6,False,False,True,B_rescue_candidate
79,0.55,0.5930000000000001,0.498,-0.052000000000000046,motor_extended,0.6900000000000001,0.6,0.6,False,False,True,B_rescue_candidate
83,0.5800000000000001,0.39,0.39,-0.19000000000000006,motor_core,0.82,0.6,0.6,False,False,True,B_rescue_candidate
88,0.47,0.382111111111111,0.382111111111111,-0.08788888888888896,motor_core,0.6088888888888888,0.6,0.6,False,False,True,B_rescue_candidate
90,0.58,0.57,0.545,-0.03499999999999992,motor_extended,0.6799999999999999,0.6,0.6,False,False,True,B_rescue_candidate
91,0.5700000000000001,0.411,0.411,-0.15900000000000009,motor_extended,0.6300000000000001,0.6,0.6,False,False,True,B_rescue_candidate
95,0.43,0.46,0.411,-0.019000000000000017,motor_core,0.6599999999999999,0.6,0.6,False,False,True,B_rescue_candidate
98,0.42,0.393,0.393,-0.02699999999999997,motor_extended,0.69,0.6,0.6,False,False,True,B_rescue_candidate
4,0.8099999999999999,0.611,0.611,-0.19899999999999995,motor_extended,0.8099999999999999,0.6,0.6,True,False,True,C_ok_dev
6,0.63,0.505,0.491,-0.139,motor_extended,0.4599999999999999,0.6,0.6,True,True,False,C_ok_dev
7,1.0,0.831,0.831,-0.16900000000000004,motor_extended,1.0,0.6,0.6,True,False,True,C_ok_dev
11,0.74,0.5479999999999999,0.5479999999999999,-0.19200000000000006,motor_core,0.47,0.6,0.6,True,True,False,C_ok_dev
12,0.8,0.706,0.706,-0.09400000000000008,motor_extended,0.78,0.6,0.6,True,False,True,C_ok_dev
13,0.6900000000000001,0.6030000000000001,0.6030000000000001,-0.08699999999999997,motor_extended,0.8,0.6,0.6,True,False,True,C_ok_dev
20,0.7100000000000001,0.579,0.579,-0.13100000000000012,motor_core,0.43,0.6,0.6,True,True,False,C_ok_dev
31,0.8300000000000001,0.68,0.68,-0.15000000000000002,motor_extended,0.94,0.6,0.6,True,False,True,C_ok_dev
34,0.96,0.807,0.807,-0.1529999999999999,motor_core,0.99,0.6,0.6,True,False,True,C_ok_dev
39,0.6,0.648,0.606,0.006000000000000005,motor_extended,0.63,0.6,0.6,True,False,True,C_ok_dev
40,0.63,0.452,0.452,-0.178,motor_core,0.54,0.6,0.6,True,True,False,C_ok_dev
44,0.67,0.621,0.618,-0.052000000000000046,motor_extended,0.78,0.6,0.6,True,False,True,C_ok_dev
48,0.86,0.696,0.696,-0.16400000000000003,motor_extended,0.78,0.6,0.6,True,False,True,C_ok_dev
50,0.65,0.5780000000000001,0.5780000000000001,-0.07199999999999995,motor_core,0.4799999999999998,0.6,0.6,True,True,False,C_ok_dev
53,0.93,0.769,0.769,-0.16100000000000003,motor_extended,0.6900000000000001,0.6,0.6,True,False,True,C_ok_dev
54,0.9,0.7440000000000001,0.7440000000000001,-0.15599999999999992,motor_core,0.8800000000000001,0.6,0.6,True,False,True,C_ok_dev
56,0.99,0.917,0.917,-0.07299999999999995,motor_extended,0.93,0.6,0.6,True,False,True,C_ok_dev
60,0.94,0.815,0.815,-0.125,motor_extended,0.95,0.6,0.6,True,False,True,C_ok_dev
62,0.95,0.764,0.764,-0.18599999999999994,motor_extended,0.99,0.6,0.6,True,False,True,C_ok_dev
72,0.97,0.8210000000000001,0.8210000000000001,-0.1489999999999999,motor_extended,0.94,0.6,0.6,True,False,True,C_ok_dev
93,0.92,0.7260000000000001,0.7260000000000001,-0.19399999999999995,motor_extended,0.95,0.6,0.6,True,False,True,C_ok_dev
97,0.76,0.687,0.6859999999999999,-0.07400000000000007,motor_extended,0.76,0.6,0.6,True,False,True,C_ok_dev
102,0.76,0.652,0.652,-0.10799999999999998,motor_extended,0.85,0.6,0.6,True,False,True,C_ok_dev
