model_id,model,term,estimate,ci_low,ci_high,p_value,n_subjects,n_subject_condition_rows,status,p_value_bh_fdr
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))",Intercept,0.6754026503567755,0.6422520700373219,0.7085532306762291,0.0,109,1090,fit,
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.1]",-0.03576376146788903,-0.05600221017245818,-0.015525312763319882,0.0005332144825104906,109,1090,fit,0.000685561477513488
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.2]",-0.0665963302752284,-0.08683477897979755,-0.04635788157065926,1.1227340848006088e-10,109,1090,fit,3.3682022544018266e-10
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.3]",-0.08502650356778697,-0.10526495227235612,-0.06478805486321783,1.806533194712482e-16,109,1090,fit,8.12939937620617e-16
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.dropout_0.5]",-0.11850840978593165,-0.13874685849050078,-0.0982699610813625,1.725898233333765e-30,109,1090,fit,1.5533084100003885e-29
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.motor_core]",-0.036238532110090864,-0.056476980814660016,-0.016000083405521715,0.00044900160764547916,109,1090,fit,0.0006735024114682187
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.motor_extended]",0.0014678899082576841,-0.018770558796311464,0.021706338612826833,0.8869570026798729,109,1090,fit,0.8869570026798729
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_left_motor_strip_0.140625]",-0.03918450560652307,-0.05942295431109221,-0.018946056901953928,0.0001477815115299588,109,1090,fit,0.00026600672075392584
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_midline_motor_strip_0.046875]",-0.012821100917430358,-0.0330595496219995,0.007417347787138784,0.21436889504865408,109,1090,fit,0.24116500692973586
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))","C(condition, Treatment(reference='clean'))[T.region_dropout_right_motor_strip_0.140625]",-0.04785932721712448,-0.06809777592169362,-0.027620878512555336,3.571636616945115e-06,109,1090,fit,8.036182388126509e-06
all_conditions,"roc_auc ~ C(condition, Treatment(reference='clean'))",Group Var,4.36608843425525,3.1162472290219476,5.615929639488552,7.553566812298487e-12,109,1090,fit,
channel_dropout_dose,roc_auc ~ dropout_fraction,Intercept,0.665300658456624,0.6345774810689185,0.6960238358443295,0.0,109,545,fit,
channel_dropout_dose,roc_auc ~ dropout_fraction,dropout_fraction,-0.23216822326914038,-0.25449342500340144,-0.20984302153487933,2.395776923948749e-92,109,545,fit,2.395776923948749e-92
channel_dropout_dose,roc_auc ~ dropout_fraction,Group Var,12.26913579325097,8.567973298064516,15.970298288437423,8.184755520906576e-11,109,545,fit,
