dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.1,0.871,0.628,0.2419021223828921,0.3027155357325418,64,6.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.2,0.8140000000000001,0.5770000000000001,0.2912576915864556,0.3219823689420175,64,13.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.3,0.754,0.547,0.2974002299047809,0.313008488098169,64,19.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.5,0.6920000000000001,0.519,0.3881491236555173,0.3992247212155252,64,32.0
PhysionetMotorImagery,1,riemann_lr,clean,all_channels,0.0,0.92,0.78,0.1518802003179867,0.2726417995821478,64,0.0
PhysionetMotorImagery,1,riemann_lr,reduced_montage,motor_core,0.0,0.8,0.6599999999999999,0.2158792302192014,0.2292181290176755,3,0.0
PhysionetMotorImagery,1,riemann_lr,reduced_montage,motor_extended,0.0,0.92,0.8699999999999999,0.168940383105342,0.2849179364677286,9,0.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.046875,0.8800000000000001,0.64,0.2163092774631496,0.2795836806140918,64,3.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.140625,0.8300000000000001,0.5349999999999999,0.3328255200284823,0.3667246238026004,64,9.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.1,0.87,0.696,0.2326497967797402,0.3490238421791665,64,6.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.2,0.8240000000000001,0.601,0.2851273524136408,0.3461025284756517,64,13.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.3,0.784,0.562,0.3167145529687421,0.3516505428266224,64,19.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.5,0.657,0.525,0.3343194638708,0.3286689908611438,64,32.0
PhysionetMotorImagery,2,riemann_lr,clean,all_channels,0.0,0.93,0.8800000000000001,0.138183112559469,0.2753472189770518,64,0.0
PhysionetMotorImagery,2,riemann_lr,reduced_montage,motor_core,0.0,0.68,0.6599999999999999,0.2353263963000103,0.2669238013669468,3,0.0
PhysionetMotorImagery,2,riemann_lr,reduced_montage,motor_extended,0.0,0.91,0.8949999999999999,0.1377981232019546,0.2647362164544057,9,0.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.046875,0.8800000000000001,0.775,0.1834931560945055,0.3076101692827949,64,3.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.140625,0.8099999999999999,0.5,0.4023137785843813,0.4160930004118334,64,9.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.1,0.551,0.482,0.3010412368070871,0.3165343351053427,64,6.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.2,0.53,0.487,0.3326000151029396,0.3365420903474488,64,13.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.3,0.501,0.5045000000000001,0.3769955682439362,0.4027280680421548,64,19.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.5,0.4639999999999999,0.506,0.3957268690174522,0.3918516947932814,64,32.0
PhysionetMotorImagery,3,riemann_lr,clean,all_channels,0.0,0.5900000000000001,0.605,0.2608732515600465,0.3766103416147917,64,0.0
PhysionetMotorImagery,3,riemann_lr,reduced_montage,motor_core,0.0,0.4599999999999999,0.475,0.2557544267614599,0.2149255125853925,3,0.0
PhysionetMotorImagery,3,riemann_lr,reduced_montage,motor_extended,0.0,0.5,0.5700000000000001,0.2517923071921891,0.2415346809338585,9,0.0
PhysionetMotorImagery,3,riemann_lr,region_dropout,all_channels,0.046875,0.5900000000000001,0.53,0.2650628948497443,0.2817589801582733,64,3.0
PhysionetMotorImagery,3,riemann_lr,region_dropout,all_channels,0.140625,0.55,0.5650000000000001,0.2841228556379018,0.2943914663942829,64,9.0
PhysionetMotorImagery,4,riemann_lr,channel_dropout,all_channels,0.1,0.762,0.5635,0.28388846493339,0.3098505336210018,64,6.0
PhysionetMotorImagery,4,riemann_lr,channel_dropout,all_channels,0.2,0.722,0.512,0.3168760690705988,0.3287297977973987,64,13.0
