dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,protocol_version,mask_seed_scope,selected_channels,region,dropped_channels,run_signature
PhysionetMotorImagery,1,riemann_lr,clean,all_channels,1,0.0,0,64,0,0.9,1.0,0.11907483593044978,0.23483398107246467,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,0,64,6,0.7,1.0,0.202272596612532,0.24362168254698063,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,1,64,6,0.7,0.95,0.1788241831313016,0.3132389845272587,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,2,64,6,0.6,0.95,0.23726868455171635,0.36731943829427316,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,3,64,6,0.9,0.95,0.17857632686263594,0.31976988087839764,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,4,64,6,0.875,0.95,0.1405220615914401,0.2518384163565802,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,5,64,6,0.9,1.0,0.14571609418797268,0.3622353590747586,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,6,64,6,0.7,0.95,0.21407556835297994,0.24728230756599678,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,7,64,6,0.5,0.95,0.3924583169721856,0.4359249389480926,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,8,64,6,0.775,0.8500000000000001,0.16175033765170452,0.26196370851591905,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.1,9,64,6,0.625,0.95,0.19476909543232004,0.2907095855928634,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,0,64,13,0.7,0.7,0.24082822884739827,0.2954049581418823,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,1,64,13,0.6,0.95,0.20760321124417605,0.3380734324300546,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,2,64,13,0.5,0.95,0.3108127987684894,0.39180320590432643,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,3,64,13,0.65,0.9,0.17742650602677246,0.21675825346693828,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,4,64,13,0.775,0.9,0.15994110702798492,0.3009715313827122,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,5,64,13,0.65,0.9,0.17803756423144168,0.404392860181991,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,6,64,13,0.5,0.9,0.374814255440836,0.3903626023666236,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,7,64,13,0.7,0.9,0.2059745094192834,0.19503886391973796,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,8,64,13,0.5,0.7,0.2898954248763741,0.3578934335421646,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.2,9,64,13,0.5,0.95,0.34530147626566227,0.3648227345635534,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,0,64,19,0.75,0.9,0.20156673192794852,0.2466105947321247,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,1,64,19,0.5,0.8,0.34842409594719004,0.34902167708520243,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,2,64,19,0.4,0.7500000000000001,0.22058741989376107,0.3086095824948075,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,3,64,19,0.5,0.8,0.34701123576079984,0.3479106737642633,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,4,64,19,0.5,0.6500000000000001,0.3207931642669512,0.2951216457467444,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,5,64,19,0.75,0.85,0.1918149585122484,0.23195524144615098,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,1,0.3,6,64,19,0.6,0.7000000000000001,0.24923479773815563,0.3677125224061242,0.3.2,participant,,,,eb87367a9e2288c35b0ae16034e674efb5fedd06ec5d84d2b15636f9f94ce764
