dataset,pipeline,subject,metric,n_conditions,slope_per_100pct_dropout,slope_per_10pct_dropout,intercept,r_value,p_value_subject_slope
PhysionetMotorImagery,riemann_lr,1,roc_auc,5,-0.46905405405405426,-0.04690540540540543,0.911391891891892,-0.9929342774366772,0.0007122097303057426
PhysionetMotorImagery,riemann_lr,1,balanced_accuracy,5,-0.4474324324324325,-0.044743243243243254,0.7136351351351351,-0.8681707298496435,0.05630822038603983
PhysionetMotorImagery,riemann_lr,1,brier_score,5,0.40319921633725714,0.04031992163372572,0.17830071923438418,0.9622264285415894,0.008762737391377022
PhysionetMotorImagery,riemann_lr,1,ece,5,0.2071536872804323,0.02071536872804323,0.273118267281269,0.9908529705306242,0.0010487143285710621
PhysionetMotorImagery,riemann_lr,2,roc_auc,5,-0.5272972972972975,-0.05272972972972975,0.9184054054054056,-0.9956192778757212,0.00034782983637440996
PhysionetMotorImagery,riemann_lr,2,balanced_accuracy,5,-0.5947297297297299,-0.05947297297297299,0.7775405405405406,-0.8309692762314578,0.08127417423969253
PhysionetMotorImagery,riemann_lr,2,brier_score,5,0.38775945598943407,0.03877594559894341,0.18914773655393266,0.8822627166487246,0.04763020128471194
PhysionetMotorImagery,riemann_lr,2,ece,5,0.13522392889200546,0.013522392889200548,0.3160423811234078,0.6405294600796848,0.24428673476571944
PhysionetMotorImagery,riemann_lr,3,roc_auc,5,-0.2554054054054055,-0.025540540540540554,0.5841891891891893,-0.9873147524821726,0.0017118045592768197
PhysionetMotorImagery,riemann_lr,3,balanced_accuracy,5,-0.12743243243243235,-0.012743243243243236,0.5376351351351351,-0.4451380839335922,0.45254985852790425
PhysionetMotorImagery,riemann_lr,3,brier_score,5,0.2738041718472614,0.02738041718472614,0.27128280551089873,0.9821394782804822,0.002857644047594066
PhysionetMotorImagery,riemann_lr,3,ece,5,0.08334435331389237,0.008334435331389237,0.3460560246272226,0.570480236131346,0.3152311867430243
PhysionetMotorImagery,riemann_lr,4,roc_auc,5,-0.38445945945945936,-0.03844594594594594,0.8095810810810811,-0.992089272673938,0.0008436114611156917
