condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.1,brier_score,calibration,109,0.06573785525505606,0.05935898087850289,0.07211672963160923,0.0594575900723488,0.05269785807605376,0.06879702112051081,1.9565902925555358,large,109,1.0,0,0.0,1.9721522630525296e-32,non_normal_delta_check_wilcoxon
channel_dropout_0.2,brier_score,calibration,109,0.10468384347093736,0.09507388029786086,0.11429380664401385,0.09847553089874819,0.08725537901454311,0.11274468529267428,2.068170547292865,large,109,1.0,0,0.0,1.9721522630525296e-32,non_normal_delta_check_wilcoxon
channel_dropout_0.3,brier_score,calibration,109,0.12444348671436309,0.11334559956940098,0.13554137385932521,0.1163721214383085,0.10479823220978374,0.13833497867681688,2.128924597368824,large,109,1.0,0,0.0,1.9721522630525296e-32,non_normal_delta_check_wilcoxon
channel_dropout_0.5,brier_score,calibration,109,0.1629383199975446,0.14907354869959064,0.17680309129549857,0.1522207841166558,0.13920674926414378,0.17083584775849492,2.231202238581099,large,109,1.0,0,0.0,1.9721522630525296e-32,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,brier_score,calibration,109,0.00578895140830383,-0.001999685949429255,0.013577588766036914,0.0009107171413801074,-0.005457182526951709,0.008939807279252698,0.14111293793528412,negligible,57,0.5229357798165137,52,0.47706422018348627,0.7018111820646833,non_normal_delta_check_wilcoxon
reduced_montage_motor_extended,brier_score,calibration,109,-0.00706547344489183,-0.013827238360101574,-0.00030370852968208614,-0.0098259997874372,-0.016768080827306714,0.00019691330148730035,-0.19838535723495704,negligible,45,0.41284403669724773,64,0.5871559633027523,0.09293415161015159,non_normal_delta_check_wilcoxon
region_dropout_0.046875,brier_score,calibration,109,0.027555234287369043,0.021873443472006395,0.033237025102731695,0.01968200364280892,0.015521639657485986,0.024610443696154005,0.920761773186955,large,99,0.908256880733945,10,0.09174311926605505,5.18341764001303e-19,non_normal_delta_check_wilcoxon
region_dropout_0.140625,brier_score,calibration,109,0.10311071189609303,0.0869118677963668,0.11930955599581926,0.08320017553506298,0.06713967924504169,0.10122686705797973,1.208504223885485,large,109,1.0,0,0.0,1.9721522630525296e-32,non_normal_delta_check_wilcoxon
channel_dropout_0.1,ece,calibration,109,0.04444831264660831,0.037009536053982516,0.05188708923923411,0.044451177475939796,0.03479202203766363,0.05004821629853501,1.1344416846001426,large,96,0.8807339449541285,13,0.11926605504587157,2.415547641129349e-16,fdr_significant_ttest
channel_dropout_0.2,ece,calibration,109,0.06540779852214869,0.055781443842916924,0.07503415320138046,0.062499387464874434,0.052495889568469234,0.0700887677399118,1.2900189381848182,large,99,0.908256880733945,10,0.09174311926605505,5.18341764001303e-19,fdr_significant_ttest
channel_dropout_0.3,ece,calibration,109,0.07802283576170009,0.06694525095386733,0.08910042056953285,0.06809885686750539,0.06202858231391051,0.07955038817618781,1.3372267642041742,large,103,0.944954128440367,6,0.05504587155963303,3.02532498141125e-23,non_normal_delta_check_wilcoxon
channel_dropout_0.5,ece,calibration,109,0.10327109377102904,0.09001903377260924,0.11652315376944884,0.09290464470721244,0.07976425061245479,0.11430505561927812,1.4795300705457497,large,104,0.9541284403669725,5,0.045871559633027525,2.0150046994075364e-24,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,ece,calibration,109,-0.0690067415277569,-0.08238793536104445,-0.055625547694469354,-0.06642908725823429,-0.081925700146741,-0.0434236705644723,-0.9790955394271943,large,17,0.1559633027522936,92,0.8440366972477065,2.4531071086637014e-13,non_normal_delta_check_wilcoxon
reduced_montage_motor_extended,ece,calibration,109,-0.03081866635970537,-0.040445377200436755,-0.021191955518973987,-0.030283452967248103,-0.03964298053209048,-0.0152263432202501,-0.6078050823603608,medium,35,0.3211009174311927,74,0.6788990825688074,0.00030395905872318476,non_normal_delta_check_wilcoxon
region_dropout_0.046875,ece,calibration,109,0.013608192617387752,0.0046616430361221504,0.022554742198653353,0.010079160209634619,0.0019319029888557604,0.024333099578765005,0.2887841065451533,small,66,0.6055045871559633,43,0.3944954128440367,0.039560423472213384,fdr_significant_ttest
region_dropout_0.140625,ece,calibration,109,0.07055525304987159,0.057496496943980756,0.08361400915576242,0.07245606272742902,0.052230915818623325,0.09110258172679292,1.0257840835369716,large,93,0.8532110091743119,16,0.14678899082568808,5.437338376944939e-14,fdr_significant_ttest
channel_dropout_0.1,roc_auc,primary,109,-0.035723751274209986,-0.04273064807494821,-0.028716854473471765,-0.03299999999999992,-0.04300000000000004,-0.028000000000000025,-0.9679652108984913,large,92,0.8440366972477065,16,0.14678899082568808,8.634015749928849e-14,fdr_significant_ttest
channel_dropout_0.2,roc_auc,primary,109,-0.07143042813455659,-0.08286023336286062,-0.06000062290625256,-0.07500000000000007,-0.08900000000000008,-0.062,-1.1865139166971506,large,97,0.8899082568807339,12,0.11009174311926606,3.514998766252591e-17,fdr_significant_ttest
channel_dropout_0.3,roc_auc,primary,109,-0.081019877675841,-0.09446948925827314,-0.06757026609340885,-0.09499999999999997,-0.10499999999999998,-0.06999999999999995,-1.1436950827255645,large,92,0.8440366972477065,17,0.1559633027522936,2.4531071086637014e-13,fdr_significant_ttest
channel_dropout_0.5,roc_auc,primary,109,-0.12100790010193681,-0.1412491926305594,-0.10076660757331421,-0.1260000000000001,-0.15700000000000008,-0.09100000000000008,-1.1350209982867012,large,94,0.8623853211009175,15,0.13761467889908258,9.882997701308196e-15,fdr_significant_ttest
