condition,stressor,montage,dropout_fraction,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,delta_sd,cohens_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,shapiro_p_value_delta,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr
channel_dropout_0.1,channel_dropout,all_channels,0.1,roc_auc,primary,109,0.6754026503567789,0.6396788990825688,-0.03572375127421,-0.042730648074948224,-0.028716854473471776,-0.03299999999999992,-0.04300000000000004,-0.028000000000000025,0.036906028100999876,-0.9679652108984915,-10.105853491742494,2.6762770656884238e-17,465.0,3.065365993501424e-14,3.777381890593871e-14,0.3530875661508186,92,0.8440366972477065,16,0.14678899082568808,6.423064957652216e-17,7.356878384403418e-14,9.713267718669955e-14
channel_dropout_0.1,channel_dropout,all_channels,0.1,balanced_accuracy,secondary,109,0.6427675840978593,0.5495703363914374,-0.09319724770642203,-0.11163806342861778,-0.07475643198422628,-0.07950000000000002,-0.11749999999999994,-0.06449999999999995,0.09712962565354372,-0.9595141243398974,-10.017621557737439,4.250412570019278e-17,519.0,1.0865086918133605e-13,5.13116239379527e-12,0.3867024576684127,89,0.8165137614678899,19,0.1743119266055046,9.563428282543376e-17,2.177949474649448e-13,1.026232478759054e-11
channel_dropout_0.1,channel_dropout,all_channels,0.1,brier_score,calibration,109,0.2223497516541646,0.28808760690922064,0.06573785525505597,0.05935898087850282,0.07211672963160913,0.05945759007234819,0.052697858076049986,0.06879702112050959,0.03359817101473737,1.9565902925555378,20.427402366638777,6.870996447239219e-39,0.0,1.2785723680814605e-19,3.0814879110195774e-33,0.000882063424970436,109,1.0,0,0.0,6.183896802515298e-38,1.1507151312733146e-18,2.7733391199176196e-32
channel_dropout_0.1,channel_dropout,all_channels,0.1,ece,calibration,109,0.2788364787706237,0.32328479141723165,0.04444831264660795,0.03700953605398209,0.05188708923923381,0.04445117747594052,0.03479202203765952,0.05004821629853401,0.039180782273771475,1.134441684600123,11.843918903710115,3.043591857333595e-21,292.0,2.8525788419825055e-16,8.303445016382138e-17,0.7983615570294029,96,0.8807339449541285,13,0.11926605504587157,9.96084607854631e-21,9.335712573760927e-16,2.4910335049146417e-16
channel_dropout_0.2,channel_dropout,all_channels,0.2,roc_auc,primary,109,0.6754026503567789,0.6039722222222222,-0.07143042813455658,-0.08286023336286061,-0.06000062290625255,-0.07500000000000007,-0.08900000000000008,-0.062,0.060201930318183286,-1.1865139166971503,-12.387568967406212,1.8319972355006482e-22,297.5,3.271910993967608e-16,1.0984371144539348e-17,0.6437431110048245,97,0.8899082568807339,12,0.11009174311926606,8.243987559752918e-22,9.815732981902826e-16,3.5948851018492406e-17
channel_dropout_0.2,channel_dropout,all_channels,0.2,balanced_accuracy,secondary,109,0.6427675840978593,0.525237003058104,-0.11753058103975536,-0.1409064227165159,-0.09415473936299482,-0.10850000000000004,-0.14049999999999996,-0.07249999999999995,0.12312290224056917,-0.954579358518637,-9.966101090013783,5.568356468432307e-17,556.5,1.585598714132414e-13,6.366602155148437e-13,0.07257650092533875,91,0.8348623853211009,18,0.1651376146788991,1.179181369785665e-16,3.004292300461416e-13,1.348221632854963e-12
channel_dropout_0.2,channel_dropout,all_channels,0.2,brier_score,calibration,109,0.2223497516541646,0.3270335951251017,0.10468384347093701,0.09507388029786065,0.11429380664401337,0.09847553089874739,0.08725537901454672,0.11274468529267229,0.05061663971956366,2.06817054729289,21.592334426439052,5.531538974824733e-41,0.0,1.2785723680814605e-19,3.0814879110195774e-33,0.005761945879984098,109,1.0,0,0.0,6.63784676978968e-40,1.1507151312733146e-18,2.7733391199176196e-32
channel_dropout_0.2,channel_dropout,all_channels,0.2,ece,calibration,109,0.2788364787706237,0.3442442772927715,0.06540779852214784,0.05578144384291603,0.07503415320137966,0.062499387464880485,0.05249588956847007,0.07008876773990319,0.05070297542622445,1.2900189381847955,13.468193116948596,7.377835856820872e-25,123.0,3.613871556326088e-18,1.4578362112536647e-19,0.062066341433835805,99,0.908256880733945,10,0.09174311926605505,3.7943155835078766e-24,1.4090624832933792e-17,5.248210360513193e-19
channel_dropout_0.3,channel_dropout,all_channels,0.3,roc_auc,primary,109,0.6754026503567789,0.5943827726809379,-0.08101987767584096,-0.0944694892582731,-0.06757026609340881,-0.09499999999999997,-0.10499999999999998,-0.06999999999999995,0.07084045293152855,-1.1436950827255639,-11.940527216388695,1.8444246623626222e-21,351.0,1.2333287204591154e-15,1.2265535543318507e-13,0.6407712133686208,92,0.8440366972477065,17,0.1559633027522936,7.377698649450489e-21,3.4153718412713967e-15,2.7597454972466643e-13
channel_dropout_0.3,channel_dropout,all_channels,0.3,balanced_accuracy,secondary,109,0.6427675840978593,0.5166131498470947,-0.12615443425076453,-0.15218670577130144,-0.10012216273022763,-0.10249999999999998,-0.14200000000000002,-0.07100000000000006,0.1371145846144862,-0.9200657581792818,-9.605768523744876,3.6772653381348555e-16,592.5,3.570392802889072e-13,2.489280605223287e-10,0.02716766484140701,87,0.7981651376146789,22,0.2018348623853211,6.967450114360778e-16,6.42670704520033e-13,4.0733682630926513e-10
channel_dropout_0.3,channel_dropout,all_channels,0.3,brier_score,calibration,109,0.2223497516541646,0.3467932383685292,0.12444348671436455,0.11334559956940218,0.1355413738593269,0.1163721214383095,0.10479823220978474,0.13833497867682082,0.05845368448848206,2.1289245973688002,22.226625330889256,4.2862559786785554e-42,0.0,1.2785723680814605e-19,3.0814879110195774e-33,0.009797838879428833,109,1.0,0,0.0,7.715260761621401e-41,1.1507151312733146e-18,2.7733391199176196e-32
channel_dropout_0.3,channel_dropout,all_channels,0.3,ece,calibration,109,0.2788364787706237,0.35685931453232467,0.07802283576170092,0.066945250953868,0.08910042056953385,0.06809885686750022,0.06202858231389813,0.0795503881761977,0.05834675004290319,1.3372267642041695,13.961057290210183,6.189590363093257e-26,79.0,1.110821809999669e-18,6.61789839683711e-24,0.021346414998403222,103,0.944954128440367,6,0.05504587155963303,3.7137542178559542e-25,4.998698144998511e-18,2.9780542785766996e-23
channel_dropout_0.5,channel_dropout,all_channels,0.5,roc_auc,primary,109,0.6754026503567789,0.554394750254842,-0.12100790010193681,-0.1412491926305594,-0.10076660757331421,-0.1260000000000001,-0.15700000000000008,-0.09100000000000008,0.10661291754478251,-1.1350209982867012,-11.849967116162796,2.9495823315379387e-21,369.0,1.916410297016931e-15,3.706124137990574e-15,0.3266775547873974,94,0.8623853211009175,15,0.13761467889908258,9.96084607854631e-21,4.927912192329251e-15,1.0263112997512359e-14
channel_dropout_0.5,channel_dropout,all_channels,0.5,balanced_accuracy,secondary,109,0.6427675840978593,0.5068440366972478,-0.13592354740061163,-0.1640786850844803,-0.10776840971674295,-0.10499999999999998,-0.15900000000000003,-0.08099999999999996,0.14829593357774343,-0.9165696194181506,-9.569267763480983,4.451306244471308e-16,601.0,4.3170741939285147e-13,2.489280605223287e-10,0.0188196626209418,87,0.7981651376146789,22,0.2018348623853211,8.012351240048354e-16,7.400698618163168e-13,4.0733682630926513e-10
channel_dropout_0.5,channel_dropout,all_channels,0.5,brier_score,calibration,109,0.2223497516541646,0.3852880716517065,0.16293831999754174,0.14907354869958742,0.17680309129549607,0.15222078411664525,0.13920674926414334,0.1708358477584957,0.07302714078539427,2.2312022385810026,23.294435254153033,6.422027243786221e-44,0.0,1.2785723680814605e-19,3.0814879110195774e-33,0.011125385239679457,109,1.0,0,0.0,2.3119298077630397e-42,1.1507151312733146e-18,2.7733391199176196e-32
