condition,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,cohens_dz,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr,shapiro_p_value_delta,pct_worse_than_clean
channel_dropout_0.1,balanced_accuracy,secondary,109,0.6427675840978593,0.5504082568807339,-0.0923593272171254,-0.11141838742616797,-0.07330026700808284,-0.08200000000000007,-0.920042081203161,6.627647245480388e-16,8.942615227271907e-13,1.1002844948564563e-10,0.34148793516838116,0.8073394495412844
channel_dropout_0.2,balanced_accuracy,secondary,109,0.6427675840978593,0.5266024464831806,-0.11616513761467892,-0.13898903976772067,-0.09334123546163717,-0.09850000000000003,-0.9663052241718423,6.594422147983965e-17,2.526208277344938e-13,6.196945932864522e-12,0.04445974974394846,0.8256880733944955
channel_dropout_0.3,balanced_accuracy,secondary,109,0.6427675840978593,0.5167798165137614,-0.12598776758409788,-0.15139095120955848,-0.10058458395863729,-0.10399999999999998,-0.9416047619045228,2.398298123880151e-16,4.1249605242778545e-13,6.196945932864522e-12,0.01912000960269299,0.8256880733944955
channel_dropout_0.5,balanced_accuracy,secondary,109,0.6427675840978593,0.5072492354740061,-0.13551834862385323,-0.16320013742299527,-0.10783655982471117,-0.1130000000000001,-0.9294635500416767,4.400073646245318e-16,4.795395866267898e-13,1.6976868765343292e-10,0.01778283452896009,0.7981651376146789
reduced_montage_motor_core,balanced_accuracy,secondary,109,0.6427675840978593,0.6057645259938839,-0.03700305810397554,-0.05929331577623729,-0.014712800431713795,-0.03500000000000003,-0.31517440514210415,0.0016214559012254588,0.0010350291590305507,0.00011805462265202498,0.218184996398045,0.6788990825688074
reduced_montage_motor_extended,balanced_accuracy,secondary,109,0.6427675840978593,0.6426911314984708,-7.64525993883825e-05,-0.021118049560640333,0.020965144361863565,0.014999999999999902,-0.0006898298314768552,0.9942669438447093,0.7940232287158476,0.3432395480887945,0.11784330778795171,0.44036697247706424
region_dropout_left_motor_strip_0.140625,balanced_accuracy,secondary,109,0.6427675840978593,0.526788990825688,-0.11597859327217125,-0.14314821409633097,-0.08880897244801153,-0.08000000000000007,-0.810443367356596,2.125605049249431e-13,5.2532897666400955e-12,2.6198281316228234e-10,0.0011194197577251536,0.7889908256880734
region_dropout_midline_motor_strip_0.046875,balanced_accuracy,secondary,109,0.6427675840978593,0.59131498470948,-0.051452599388379205,-0.06777070547853978,-0.03513449329821863,-0.04500000000000004,-0.5986403429024595,1.113064069222767e-08,3.346242372766565e-08,5.2249538382553166e-05,0.000571597725678164,0.6880733944954128
region_dropout_right_motor_strip_0.140625,balanced_accuracy,secondary,109,0.6427675840978593,0.5180886850152905,-0.12467889908256881,-0.15297819588239867,-0.09637960228273895,-0.08000000000000013,-0.8364610598026734,5.4458541796886555e-14,1.2309860897764048e-12,6.242468659515472e-10,9.496953301815245e-05,0.7889908256880734
channel_dropout_0.1,roc_auc,primary,109,0.6754026503567789,0.6396388888888888,-0.035763761467889905,-0.04246965594868805,-0.029057866987091764,-0.03799999999999992,-1.0125462912844116,5.997664125529187e-18,4.106501845287739e-14,4.980885407050357e-13,0.7161430886885843,0.8348623853211009
channel_dropout_0.2,roc_auc,primary,109,0.6754026503567789,0.6088063200815496,-0.06659633027522936,-0.07758306534070204,-0.05560959520975669,-0.07400000000000007,-1.1508270450022462,5.427127518957391e-21,5.514158114653567e-15,3.023078607726628e-15,0.3339924425608004,0.8623853211009175
channel_dropout_0.3,roc_auc,primary,109,0.6754026503567789,0.5903761467889909,-0.08502650356778799,-0.09907149962361411,-0.07098150751196186,-0.09299999999999997,-1.1493733205820558,5.427127518957391e-21,2.94327847482715e-15,3.023078607726628e-15,0.4388851221419018,0.8623853211009175
channel_dropout_0.5,roc_auc,primary,109,0.6754026503567789,0.556894240570846,-0.11850840978593274,-0.13890802091727986,-0.09810879865458565,-0.12200000000000016,-1.102949669432973,6.051042254073184e-20,8.110894152897517e-15,1.4324854849083984e-12,0.1724701168831561,0.8348623853211009
reduced_montage_motor_core,roc_auc,primary,109,0.6754026503567789,0.6391641182466871,-0.03623853211009175,-0.06394260714620006,-0.008534457073983436,-0.03499999999999992,-0.24834496298808623,0.01219269602170665,0.011533745417270095,0.0058337632259799046,0.3693115937602913,0.6330275229357798
reduced_montage_motor_extended,roc_auc,primary,109,0.6754026503567789,0.6768705402650357,0.001467889908256877,-0.026600823079550813,0.029536602896064565,0.010000000000000009,0.009928860251202197,0.9438491798975117,0.5958693309898085,0.2508372823556038,0.19386459879436158,0.41284403669724773
region_dropout_left_motor_strip_0.140625,roc_auc,primary,109,0.6754026503567789,0.6362181447502547,-0.039184505606523944,-0.05195378930534165,-0.02641522190770624,-0.039999999999999925,-0.5826077383674355,2.3465284948773995e-08,2.3571744018304596e-07,8.180078500873875e-06,0.23996876466183364,0.6788990825688074
region_dropout_midline_motor_strip_0.046875,roc_auc,primary,109,0.6754026503567789,0.6625815494393476,-0.012821100917431197,-0.01953205702682067,-0.006110144808041724,-0.010000000000000009,-0.3627181879822157,0.0003117646053188431,0.0004378860797487764,0.001819815833348665,0.003981760448794573,0.5596330275229358
region_dropout_right_motor_strip_0.140625,roc_auc,primary,109,0.6754026503567789,0.6275433231396536,-0.0478593272171254,-0.062074514778477766,-0.03364413965577304,-0.039999999999999925,-0.6392083034911548,1.5980298951461148e-09,8.557533159964564e-09,1.5177625011191518e-07,0.20322981965234194,0.7247706422018348
