condition,metric,available,role,n_subjects,mean_delta_condition_minus_clean,pct_worse_than_clean,ttest_fdr,wilcoxon_fdr,interpretation
channel_dropout_0.1,roc_auc,True,primary,109,-0.035763761467889905,0.8348623853211009,5.997664125529187e-18,4.106501845287739e-14,primary
channel_dropout_0.1,balanced_accuracy,True,secondary,109,-0.0923593272171254,0.8073394495412844,6.627647245480388e-16,8.942615227271907e-13,secondary
channel_dropout_0.1,brier_score,True,calibration,109,0.06640793010485188,0.9908256880733946,2.9168483928729608e-37,1.1830576146158237e-18,calibration_optional
channel_dropout_0.1,ece,True,calibration,109,0.04429001341354052,0.8623853211009175,1.246655071441986e-19,2.0739458529733994e-15,calibration_optional
channel_dropout_0.2,roc_auc,True,primary,109,-0.06659633027522936,0.8623853211009175,5.427127518957391e-21,5.514158114653567e-15,primary
channel_dropout_0.2,balanced_accuracy,True,secondary,109,-0.11616513761467892,0.8256880733944955,6.594422147983965e-17,2.526208277344938e-13,secondary
channel_dropout_0.2,brier_score,True,calibration,109,0.1036852000398699,1.0,3.544781764286857e-39,1.1830576146158237e-18,calibration_optional
channel_dropout_0.2,ece,True,calibration,109,0.0656515938280716,0.8899082568807339,8.124128255181151e-23,6.156706263355068e-17,calibration_optional
channel_dropout_0.3,roc_auc,True,primary,109,-0.08502650356778799,0.8623853211009175,5.427127518957391e-21,2.94327847482715e-15,primary
channel_dropout_0.3,balanced_accuracy,True,secondary,109,-0.12598776758409788,0.8256880733944955,2.398298123880151e-16,4.1249605242778545e-13,secondary
channel_dropout_0.3,brier_score,True,calibration,109,0.1248219536585674,1.0,3.828193137752685e-40,1.1830576146158237e-18,calibration_optional
channel_dropout_0.3,ece,True,calibration,109,0.07803822725116845,0.9174311926605505,7.05014575059895e-24,2.1525589377902682e-17,calibration_optional
channel_dropout_0.5,roc_auc,True,primary,109,-0.11850840978593274,0.8348623853211009,6.051042254073184e-20,8.110894152897517e-15,primary
channel_dropout_0.5,balanced_accuracy,True,secondary,109,-0.13551834862385323,0.7981651376146789,4.400073646245318e-16,4.795395866267898e-13,secondary
channel_dropout_0.5,brier_score,True,calibration,109,0.16106843771223672,1.0,4.741904813825782e-42,1.1830576146158237e-18,calibration_optional
channel_dropout_0.5,ece,True,calibration,109,0.10246583101299121,0.9541284403669725,4.7931835443121124e-27,3.703950832070691e-18,calibration_optional
reduced_montage_motor_core,roc_auc,True,primary,109,-0.03623853211009175,0.6330275229357798,0.01219269602170665,0.011533745417270095,primary
reduced_montage_motor_core,balanced_accuracy,True,secondary,109,-0.03700305810397554,0.6788990825688074,0.0016214559012254588,0.0010350291590305507,secondary
reduced_montage_motor_core,brier_score,True,calibration,109,0.005788951408303795,0.5229357798165137,0.15203533519467874,0.40041297237426926,calibration_optional
reduced_montage_motor_core,ece,True,calibration,109,-0.06900674152775704,0.1559633027522936,3.492431133414337e-17,1.5845478156604457e-13,calibration_optional
reduced_montage_motor_extended,roc_auc,True,primary,109,0.001467889908256877,0.41284403669724773,0.9438491798975117,0.5958693309898085,primary
reduced_montage_motor_extended,balanced_accuracy,True,secondary,109,-7.64525993883825e-05,0.44036697247706424,0.9942669438447093,0.7940232287158476,secondary
reduced_montage_motor_extended,brier_score,True,calibration,109,-0.007065473444891867,0.41284403669724773,0.04442496422647068,0.01325350266627636,calibration_optional
reduced_montage_motor_extended,ece,True,calibration,109,-0.03081866635970562,0.3211009174311927,7.361572320992816e-09,4.172072774306645e-08,calibration_optional
region_dropout_left_motor_strip_0.140625,roc_auc,True,primary,109,-0.039184505606523944,0.6788990825688074,2.3465284948773995e-08,2.3571744018304596e-07,primary
region_dropout_left_motor_strip_0.140625,balanced_accuracy,True,secondary,109,-0.11597859327217125,0.7889908256880734,2.125605049249431e-13,5.2532897666400955e-12,secondary
region_dropout_left_motor_strip_0.140625,brier_score,True,calibration,109,0.09729992388293005,0.963302752293578,1.8811898374099596e-19,1.786028843892018e-18,calibration_optional
region_dropout_left_motor_strip_0.140625,ece,True,calibration,109,0.06603814159838893,0.7889908256880734,2.1058963678970143e-14,3.290114792687624e-12,calibration_optional
region_dropout_midline_motor_strip_0.046875,roc_auc,True,primary,109,-0.012821100917431197,0.5596330275229358,0.0003117646053188431,0.0004378860797487764,primary
region_dropout_midline_motor_strip_0.046875,balanced_accuracy,True,secondary,109,-0.051452599388379205,0.6880733944954128,1.113064069222767e-08,3.346242372766565e-08,secondary
region_dropout_midline_motor_strip_0.046875,brier_score,True,calibration,109,0.027555234287368443,0.908256880733945,6.627647245480388e-16,1.7613281041167243e-17,calibration_optional
region_dropout_midline_motor_strip_0.046875,ece,True,calibration,109,0.013608192617387056,0.6055045871559633,0.00372017118700772,0.006083777464893385,calibration_optional
region_dropout_right_motor_strip_0.140625,roc_auc,True,primary,109,-0.0478593272171254,0.7247706422018348,1.5980298951461148e-09,8.557533159964564e-09,primary
region_dropout_right_motor_strip_0.140625,balanced_accuracy,True,secondary,109,-0.12467889908256881,0.7889908256880734,5.4458541796886555e-14,1.2309860897764048e-12,secondary
region_dropout_right_motor_strip_0.140625,brier_score,True,calibration,109,0.10892149990925375,0.9541284403669725,2.858835743394663e-18,2.5059380163178484e-18,calibration_optional
region_dropout_right_motor_strip_0.140625,ece,True,calibration,109,0.07507236450135354,0.8165137614678899,1.1035727243655624e-15,2.3060641496288273e-13,calibration_optional
