dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.1,,0.871,0.628,0.24190212238289127,0.30271553573253984,64,6.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.2,,0.8140000000000001,0.5770000000000001,0.29125769158645587,0.3219823689420119,64,13.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.3,,0.754,0.547,0.2974002299047921,0.31300848809820203,64,19.0
PhysionetMotorImagery,1,riemann_lr,channel_dropout,all_channels,0.5,,0.6920000000000001,0.519,0.38814912365551196,0.3992247212155833,64,32.0
PhysionetMotorImagery,1,riemann_lr,clean,all_channels,0.0,,0.9199999999999999,0.78,0.1518802003179877,0.2726417995821495,64,0.0
PhysionetMotorImagery,1,riemann_lr,reduced_montage,motor_core,0.0,,0.8,0.6599999999999999,0.2158792302192015,0.22921812901767552,3,0.0
PhysionetMotorImagery,1,riemann_lr,reduced_montage,motor_extended,0.0,,0.9199999999999999,0.8699999999999999,0.16894038310534126,0.28491793646772834,9,0.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.8800000000000001,0.64,0.21630927746315481,0.2795836806140978,64,3.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8,0.5700000000000001,0.27960268398124344,0.3358819135106197,64,9.0
PhysionetMotorImagery,1,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.86,0.5,0.3860483560757155,0.39756733409456885,64,9.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.1,,0.87,0.696,0.23264979677974063,0.3490238421791675,64,6.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.2,,0.8240000000000001,0.601,0.2851273524136453,0.3461025284756509,64,13.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.3,,0.784,0.562,0.316714552968748,0.35165054282662334,64,19.0
PhysionetMotorImagery,2,riemann_lr,channel_dropout,all_channels,0.5,,0.657,0.525,0.3343194638707979,0.3286689908611369,64,32.0
PhysionetMotorImagery,2,riemann_lr,clean,all_channels,0.0,,0.93,0.8800000000000001,0.1381831125594691,0.27534721897705194,64,0.0
PhysionetMotorImagery,2,riemann_lr,reduced_montage,motor_core,0.0,,0.68,0.6599999999999999,0.23532639630001034,0.2669238013669468,3,0.0
PhysionetMotorImagery,2,riemann_lr,reduced_montage,motor_extended,0.0,,0.9099999999999999,0.8949999999999999,0.13779812320195486,0.2647362164544059,9,0.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.8800000000000001,0.775,0.18349315609450673,0.3076101692827965,64,3.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8400000000000001,0.5,0.43242336286365335,0.43394436366157496,64,9.0
PhysionetMotorImagery,2,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.78,0.5,0.37220419430510704,0.39824163716209265,64,9.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.1,,0.551,0.48200000000000004,0.30104123680708683,0.3165343351053381,64,6.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.2,,0.53,0.48700000000000004,0.33260001510293635,0.33654209034744365,64,13.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.3,,0.501,0.5045000000000001,0.3769955682439348,0.4027280680421517,64,19.0
PhysionetMotorImagery,3,riemann_lr,channel_dropout,all_channels,0.5,,0.46399999999999997,0.506,0.39572686901745263,0.39185169479328136,64,32.0
PhysionetMotorImagery,3,riemann_lr,clean,all_channels,0.0,,0.5900000000000001,0.605,0.26087325156004704,0.37661034161479207,64,0.0
PhysionetMotorImagery,3,riemann_lr,reduced_montage,motor_core,0.0,,0.45999999999999996,0.475,0.2557544267614596,0.21492551258539266,3,0.0
PhysionetMotorImagery,3,riemann_lr,reduced_montage,motor_extended,0.0,,0.5,0.5700000000000001,0.2517923071921896,0.24153468093385877,9,0.0
