subject,clean_auc,clean_bal,auc_dropout_0.1,bal_dropout_0.1,auc_dropout_0.2,bal_dropout_0.2,auc_dropout_0.3,bal_dropout_0.3,auc_dropout_0.5,bal_dropout_0.5,auc_motor_core,bal_motor_core,auc_motor_extended,bal_motor_extended
1,0.92,0.78,0.871,0.628,0.8140000000000001,0.5770000000000001,0.754,0.547,0.6920000000000001,0.519,0.8,0.6599999999999999,0.92,0.8699999999999999
2,0.93,0.8800000000000001,0.87,0.696,0.8240000000000001,0.601,0.784,0.562,0.657,0.525,0.68,0.6599999999999999,0.91,0.8949999999999999
3,0.5900000000000001,0.605,0.551,0.482,0.53,0.487,0.501,0.5045000000000001,0.4639999999999999,0.506,0.4599999999999999,0.475,0.5,0.5700000000000001
4,0.8099999999999999,0.72,0.762,0.5635,0.722,0.512,0.705,0.5355,0.611,0.524,0.78,0.6599999999999999,0.8099999999999999,0.68
5,0.4,0.415,0.384,0.476,0.389,0.492,0.414,0.5075,0.433,0.498,0.5599999999999999,0.525,0.5599999999999999,0.505
6,0.63,0.5650000000000001,0.53,0.5015,0.491,0.4915,0.518,0.494,0.505,0.477,0.42,0.47,0.4599999999999999,0.4600000000000001
7,1.0,1.0,0.997,0.7265,0.974,0.6515000000000001,0.968,0.593,0.831,0.5215,0.96,0.845,1.0,0.93
8,0.66,0.62,0.539,0.5005,0.4679999999999999,0.4895,0.476,0.489,0.417,0.486,0.67,0.585,0.77,0.7350000000000001
9,0.47,0.5599999999999999,0.4379999999999999,0.4915,0.43,0.496,0.427,0.502,0.4429999999999999,0.502,0.68,0.5549999999999999,0.6300000000000001,0.635
10,0.58,0.5900000000000001,0.519,0.498,0.506,0.489,0.51,0.507,0.489,0.4865,0.79,0.745,0.8800000000000001,0.765
11,0.74,0.685,0.7040000000000001,0.5965,0.635,0.54,0.635,0.547,0.5479999999999999,0.526,0.47,0.465,0.44,0.45
12,0.8,0.775,0.784,0.578,0.755,0.5539999999999999,0.7559999999999999,0.51,0.706,0.486,0.62,0.5650000000000001,0.78,0.6849999999999999
13,0.6900000000000001,0.7,0.695,0.5825,0.6509999999999999,0.5479999999999999,0.669,0.524,0.6030000000000001,0.5255,0.6799999999999999,0.75,0.8,0.73
14,0.52,0.5349999999999999,0.539,0.52,0.55,0.5305,0.562,0.516,0.547,0.53,0.6,0.635,0.65,0.6
15,0.8699999999999999,0.75,0.7710000000000001,0.5615,0.687,0.5205,0.6659999999999999,0.5145000000000001,0.546,0.491,0.79,0.7,0.91,0.8099999999999999
16,0.56,0.585,0.55,0.522,0.475,0.5175,0.538,0.5205,0.5319999999999999,0.504,0.53,0.53,0.71,0.635
17,0.42,0.38,0.371,0.485,0.321,0.4895,0.351,0.4855,0.314,0.483,0.37,0.45,0.35,0.385
18,0.5800000000000001,0.485,0.522,0.502,0.523,0.512,0.477,0.5005,0.51,0.5045000000000001,0.26,0.36,0.35,0.36
19,0.58,0.495,0.562,0.49,0.529,0.5185,0.511,0.4965,0.528,0.4915,0.78,0.74,0.76,0.67
20,0.7100000000000001,0.675,0.6629999999999999,0.514,0.644,0.5,0.632,0.5025,0.579,0.5,0.43,0.415,0.2799999999999999,0.32
21,0.52,0.53,0.485,0.503,0.455,0.4915,0.4429999999999999,0.474,0.436,0.5045000000000001,0.74,0.64,0.7100000000000001,0.62
22,0.92,0.8699999999999999,0.892,0.654,0.85,0.6104999999999999,0.754,0.5455,0.6579999999999999,0.5305,0.63,0.5349999999999999,0.5599999999999999,0.625
23,0.58,0.55,0.562,0.5055,0.574,0.515,0.5920000000000001,0.5165,0.6,0.5395,0.6,0.5349999999999999,0.8099999999999999,0.7150000000000001
24,0.6300000000000001,0.62,0.631,0.5660000000000001,0.58,0.5115,0.597,0.5265,0.538,0.5,0.55,0.525,0.64,0.635
25,0.5800000000000001,0.45,0.491,0.492,0.436,0.4895,0.447,0.493,0.423,0.4935,0.7,0.595,0.82,0.6900000000000001
26,0.82,0.7300000000000001,0.7509999999999999,0.5855,0.69,0.55,0.66,0.5095000000000001,0.6,0.493,0.6799999999999999,0.62,0.91,0.8
27,0.64,0.5549999999999999,0.618,0.515,0.565,0.508,0.545,0.4925,0.553,0.495,0.5599999999999999,0.55,0.68,0.585
28,0.3299999999999999,0.39,0.382,0.4525,0.426,0.4755,0.428,0.4865,0.424,0.4935,0.61,0.6,0.44,0.42
29,0.99,0.96,0.938,0.7475,0.8860000000000001,0.6509999999999999,0.867,0.6154999999999999,0.774,0.5325,0.98,0.925,1.0,1.0
30,0.45,0.38,0.427,0.469,0.4429999999999999,0.473,0.437,0.4805,0.3379999999999999,0.494,0.2699999999999999,0.4,0.43,0.445
31,0.8300000000000001,0.745,0.74,0.6045,0.7040000000000001,0.5579999999999999,0.7340000000000001,0.5185,0.68,0.535,0.76,0.645,0.94,0.875
32,0.96,0.86,0.93,0.654,0.862,0.585,0.8370000000000001,0.5635,0.7140000000000001,0.529,0.86,0.805,0.91,0.875
33,0.72,0.655,0.669,0.569,0.597,0.5325,0.622,0.5405,0.555,0.489,0.8400000000000001,0.72,0.8300000000000001,0.76
34,0.96,0.915,0.932,0.6015,0.894,0.539,0.855,0.5125,0.807,0.5,0.99,0.905,0.99,0.91
35,0.8800000000000001,0.76,0.8310000000000001,0.6135,0.753,0.5615,0.741,0.5555,0.649,0.523,0.62,0.53,0.8,0.67
36,0.5800000000000001,0.525,0.5820000000000001,0.525,0.537,0.498,0.497,0.5275,0.427,0.4945,0.56,0.58,0.36,0.4
37,0.45,0.465,0.441,0.48,0.471,0.49,0.4029999999999999,0.4965,0.431,0.499,0.38,0.42,0.35,0.475
38,0.51,0.5599999999999999,0.51,0.4955,0.5,0.5015,0.5219999999999999,0.5035000000000001,0.484,0.5,0.48,0.5700000000000001,0.39,0.47
39,0.6,0.645,0.606,0.535,0.607,0.508,0.635,0.513,0.648,0.5,0.41,0.51,0.63,0.615
40,0.63,0.5650000000000001,0.568,0.5205,0.494,0.503,0.455,0.5175,0.452,0.4895,0.54,0.505,0.52,0.445
41,0.64,0.5599999999999999,0.54,0.485,0.445,0.493,0.488,0.505,0.4529999999999999,0.485,0.5599999999999999,0.43,0.73,0.6300000000000001
42,0.99,0.955,0.944,0.6795,0.877,0.609,0.855,0.55,0.6990000000000001,0.531,0.9200000000000002,0.8699999999999999,0.98,0.91
43,0.8699999999999999,0.75,0.8370000000000001,0.5815,0.752,0.535,0.6990000000000001,0.5115,0.633,0.505,0.9,0.765,0.98,0.77
44,0.67,0.645,0.661,0.539,0.628,0.5445,0.618,0.5205,0.621,0.5489999999999999,0.7,0.6,0.78,0.725
45,0.48,0.475,0.488,0.4835,0.474,0.5115,0.46,0.486,0.457,0.497,0.43,0.43,0.62,0.68
46,0.48,0.52,0.402,0.4765,0.374,0.4679999999999999,0.376,0.498,0.445,0.4985,0.6799999999999999,0.495,0.8099999999999999,0.695
47,0.58,0.555,0.5930000000000001,0.5365,0.6190000000000001,0.532,0.637,0.4995,0.6629999999999999,0.5,0.67,0.6900000000000001,0.5900000000000001,0.575
48,0.86,0.765,0.8270000000000001,0.6315,0.7609999999999999,0.5365,0.75,0.5185,0.696,0.499,0.7,0.655,0.78,0.7
49,0.95,0.8400000000000001,0.897,0.6990000000000001,0.853,0.6125,0.807,0.5685,0.711,0.5329999999999999,0.89,0.89,0.91,0.825
50,0.65,0.625,0.622,0.5295000000000001,0.616,0.535,0.6030000000000001,0.5065,0.5780000000000001,0.5035000000000001,0.4799999999999998,0.49,0.35,0.48
51,0.8,0.725,0.7160000000000001,0.6135,0.67,0.536,0.569,0.507,0.516,0.498,0.5,0.48,0.4599999999999999,0.4599999999999999
52,0.9,0.8150000000000001,0.852,0.6605,0.782,0.5845,0.77,0.569,0.634,0.5125,0.8699999999999999,0.775,0.9,0.8150000000000001
53,0.93,0.8300000000000001,0.885,0.674,0.852,0.631,0.8440000000000001,0.5945,0.769,0.525,0.52,0.54,0.6900000000000001,0.6849999999999999
54,0.9,0.845,0.804,0.6295000000000001,0.786,0.613,0.774,0.5835,0.7440000000000001,0.536,0.8800000000000001,0.8,0.82,0.7350000000000001
55,1.0,1.0,0.979,0.6965,0.905,0.597,0.8640000000000001,0.5375,0.773,0.522,0.96,0.915,0.96,0.93
