dataset,pipeline,stressor,montage,dropout_fraction,region,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.1,,1,0.6475,,,0.521,,,0.44201251706204453,,,0.45209713414093855,,,64.0
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.2,,1,0.562,,,0.507,,,0.468139763967385,,,0.4751928412132096,,,64.0
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.3,,1,0.504,,,0.4965,,,0.45961726699006106,,,0.46734717817002575,,,64.0
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.5,,1,0.5395,,,0.49,,,0.4794912872748715,,,0.4891041443257009,,,64.0
PhysionetMotorImagery,csp_lda,clean,all_channels,0.0,,1,0.8099999999999999,,,0.78,,,0.20415858734781955,,,0.2699873015940137,,,64.0
PhysionetMotorImagery,csp_lda,reduced_montage,motor_core,0.0,,1,0.85,,,0.725,,,0.18472299510632068,,,0.31581794350350795,,,3.0
PhysionetMotorImagery,csp_lda,reduced_montage,motor_extended,0.0,,1,0.9400000000000001,,,0.865,,,0.10437393955649518,,,0.17530057768417023,,,9.0
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,1,0.86,,,0.6849999999999999,,,0.2845611415098547,,,0.31177725448036425,,,64.0
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,1,0.6,,,0.52,,,0.4305853482749722,,,0.4322046661987987,,,64.0
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,1,0.5900000000000001,,,0.5700000000000001,,,0.38193070729521067,,,0.39664625404263965,,,64.0
