dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,region,dropped_channels
PhysionetMotorImagery,1,csp_lda,clean,all_channels,1,0.0,0,64,0,1.0,1.0,0.02479968023262162,0.09679676893226687,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,0,64,6,0.625,0.8500000000000001,0.3280151225481835,0.32087955144325825,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,1,64,6,0.575,0.7,0.4101897116987056,0.41965665491500925,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,2,64,6,0.5,0.55,0.5555555555555542,0.5555555555555524,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,3,64,6,0.5,0.4,0.4444444444444444,0.444444444444444,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,4,64,6,0.5,0.65,0.44444442881097046,0.4444444362944221,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,5,64,6,0.625,0.95,0.2834360410985186,0.3023366256282667,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,6,64,6,0.575,0.65,0.39925579854946014,0.437926974754691,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,7,64,6,0.5,0.8,0.5555555219726708,0.5555555387393649,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,8,64,6,0.5,0.75,0.444444444444441,0.44444444444444264,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.1,9,64,6,0.5,0.85,0.4444441641718588,0.4444443043017622,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,0,64,13,0.5,0.4,0.5555555555359987,0.5555555553902126,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,1,64,13,0.5,0.5,0.5555554564909729,0.5555320301145916,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,2,64,13,0.5,0.4,0.550719048609875,0.5523989866468965,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,3,64,13,0.5,0.5,0.5555555555555556,0.5555555555555507,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,4,64,13,0.65,0.85,0.27889340729267675,0.30259378032914186,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,5,64,13,0.5,0.85,0.4444442957450969,0.44444436853705716,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,6,64,13,0.675,0.55,0.3215278747365004,0.34187768702550014,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,7,64,13,0.5,0.75,0.44444412063428057,0.44444427086073857,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,8,64,13,0.5,0.55,0.5555555555555556,0.5555555555555556,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.2,9,64,13,0.5,0.2,0.5555555555543832,0.5555555554018584,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,0,64,19,0.5,0.45,0.5555555555555556,0.5555555555555555,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,1,64,19,0.525,0.6,0.35005606420454494,0.41547478536812193,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,2,64,19,0.5,0.5,0.4444444444444444,0.4444444444444444,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,3,64,19,0.5,0.5,0.5550545351459341,0.571670104213483,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,4,64,19,0.5,0.65,0.4444444444444168,0.4444444444444198,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,5,64,19,0.5,0.4,0.4444444444432715,0.44444444440389574,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,6,64,19,0.5,0.65,0.4444444444443927,0.4444444444441886,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,7,64,19,0.5,0.6,0.44444444444444287,0.44444444444428477,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,8,64,19,0.65,0.65,0.2628251627998462,0.3031782710803365,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.3,9,64,19,0.4,0.7500000000000001,0.4821069530853769,0.5092339164920375,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,0,64,32,0.5,0.25,0.44440671281819166,0.4436215813992528,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,1,64,32,0.5,0.25,0.5555555555555555,0.5555555546012627,,,
