condition,n_subjects,mean_auc_csp,mean_auc_riemann,mean_paired_difference_csp_minus_riemann,ci95_low,ci95_high,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,cohens_dz,n_csp_better,n_riemann_better,n_ties,proportion_csp_better,proportion_csp_better_ci95_low,proportion_csp_better_ci95_high,shapiro_p_value,paired_t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr
clean,109,0.6549999999999999,0.6754026503567789,-0.020402650356778792,-0.04194736488655454,0.0011420641729969552,-1.8771004122850539,0.06320291391894767,2050.0,0.03880151906678388,-0.1797936114886085,39,64,6,0.3577981651376147,0.268257403481305,0.45527775076263916,0.1466189751175177,0.07900364239868458,0.04850189883347984
dropout_0.1,109,0.5897959989806318,0.6396788990825688,-0.04988290010193681,-0.07206786696929124,-0.027697933234582372,-4.45691726490906,2.040253467719941e-05,1606.5,2.6067624955655846e-05,-0.4268952507385859,38,71,0,0.3486238532110092,0.25985732473399636,0.4458443110334298,0.5239629314512262,0.00010201267338599704,0.00017106781963892952
dropout_0.2,109,0.5532094801223241,0.6039722222222222,-0.05076274209989806,-0.07489151229269624,-0.026633971907099888,-4.170148769556412,6.166815877149012e-05,1720.5,0.00017885703751654826,-0.3994278104763773,42,66,1,0.3853211009174312,0.29366701249918925,0.4833718284264463,0.1645426728801727,0.0001541703969287253,0.0004471425937913706
dropout_0.3,109,0.5432721712538227,0.5943827726809379,-0.05111060142711519,-0.07383837504533822,-0.02838282780889216,-4.457545229309562,2.035216789443992e-05,1687.0,0.00011820097159215279,-0.42695539881948436,39,69,1,0.3577981651376147,0.268257403481305,0.45527775076263916,0.06362316590675966,0.00010201267338599704,0.0003940032386405093
dropout_0.5,109,0.5273112895005097,0.554394750254842,-0.027083460754332312,-0.04754771088061788,-0.00661921062804675,-2.6233122353448843,0.009967203429081741,2226.5,0.019756879251761714,-0.2512677413355585,48,61,0,0.44036697247706424,0.34538545427860806,0.5386709610963474,0.5291264196698915,0.014238862041545347,0.02822411321680245
motor_core,109,0.6482925586136596,0.6391641182466871,0.009128440366972478,-0.001804323517038079,0.020061204250983036,1.6550391677105416,0.1008197955559969,1970.5,0.07810403287307985,0.15852400179036943,54,45,10,0.4954128440366973,0.3982469297227459,0.5928342299306282,0.00035969551689869674,0.11202199506221878,0.08678225874786649
motor_extended,109,0.6686544342507645,0.6768705402650357,-0.00821610601427116,-0.020539571709751563,0.004107359681209243,-1.321523334422571,0.1891196066909791,2378.0,0.32346238254834436,-0.12657897862430406,53,50,6,0.48623853211009177,0.3893589882147098,0.5838845053251107,0.1766819473180401,0.1891196066909791,0.32346238254834436
region_left_motor_strip,109,0.5973521916411826,0.6362181447502547,-0.03886595310907237,-0.06377679197377692,-0.013955114244367815,-3.0925920268963387,0.0025254479474260422,1862.5,0.0014197996431892664,-0.29621659328266714,38,69,2,0.3486238532110092,0.25985732473399636,0.4458443110334298,0.0994467032266233,0.0050508958948520845,0.002839599286378533
region_midline_motor_strip,109,0.6066106014271152,0.6625815494393476,-0.05597094801223241,-0.08181381703317125,-0.030128078991293567,-4.293026787991356,3.860596998631937e-05,1521.0,3.42135639277859e-05,-0.4111973900696652,35,71,3,0.3211009174311927,0.23487549545248576,0.4173294589099121,0.3777632088693863,0.00012868656662106456,0.00017106781963892952
region_right_motor_strip,109,0.5936162079510703,0.6275433231396536,-0.03392711518858307,-0.058722565448638187,-0.00913166492852795,-2.7121680544867304,0.0077797417476665074,1972.0,0.013962600072752282,-0.25977858525245023,39,65,5,0.3577981651376147,0.268257403481305,0.45527775076263916,0.5756272067096435,0.012966236246110846,0.023271000121253806
