subject,condition,roc_auc_csp,roc_auc_riemann,paired_difference_csp_minus_riemann
1,dropout_0.1,0.598,0.867,-0.269
1,dropout_0.2,0.5335,0.809,-0.2755000000000001
1,dropout_0.3,0.535,0.757,-0.22199999999999998
1,dropout_0.5,0.578,0.688,-0.10999999999999999
1,clean,0.8099999999999999,0.92,-0.1100000000000001
1,motor_core,0.85,0.8,0.04999999999999993
1,motor_extended,0.94,0.92,0.019999999999999907
1,region_midline_motor_strip,0.86,0.8800000000000001,-0.02000000000000013
1,region_left_motor_strip,0.6,0.8,-0.20000000000000007
1,region_right_motor_strip,0.5900000000000001,0.86,-0.2699999999999999
2,dropout_0.1,0.7434999999999999,0.862,-0.11850000000000005
2,dropout_0.2,0.6945,0.802,-0.10750000000000004
2,dropout_0.3,0.611,0.755,-0.14400000000000002
2,dropout_0.5,0.61,0.6629999999999999,-0.052999999999999936
2,clean,0.95,0.93,0.019999999999999907
2,motor_core,0.65,0.6799999999999999,-0.029999999999999916
2,motor_extended,0.91,0.91,0.0
2,region_midline_motor_strip,0.93,0.8800000000000001,0.04999999999999993
2,region_left_motor_strip,0.82,0.8400000000000001,-0.02000000000000013
2,region_right_motor_strip,0.5900000000000001,0.78,-0.18999999999999995
3,dropout_0.1,0.483,0.562,-0.07900000000000007
3,dropout_0.2,0.5555,0.52,0.035499999999999976
3,dropout_0.3,0.493,0.506,-0.013000000000000012
3,dropout_0.5,0.5075,0.462,0.04549999999999993
3,clean,0.5700000000000001,0.5900000000000001,-0.020000000000000018
3,motor_core,0.4599999999999999,0.4599999999999999,0.0
3,motor_extended,0.5199999999999999,0.5,0.019999999999999907
3,region_midline_motor_strip,0.47,0.5900000000000001,-0.1200000000000001
3,region_left_motor_strip,0.68,0.5599999999999999,0.1200000000000001
3,region_right_motor_strip,0.5399999999999999,0.54,-1.1102230246251565e-16
4,dropout_0.1,0.5529999999999999,0.759,-0.20600000000000007
4,dropout_0.2,0.542,0.745,-0.20299999999999996
4,dropout_0.3,0.512,0.6990000000000001,-0.18700000000000006
4,dropout_0.5,0.509,0.612,-0.10299999999999998
4,clean,0.6599999999999999,0.8099999999999999,-0.15000000000000002
4,motor_core,0.8400000000000001,0.78,0.06000000000000005
4,motor_extended,0.74,0.8099999999999999,-0.06999999999999995
4,region_midline_motor_strip,0.51,0.8,-0.29000000000000004
4,region_left_motor_strip,0.51,0.8,-0.29000000000000004
4,region_right_motor_strip,0.65,0.77,-0.12
5,dropout_0.1,0.4479999999999999,0.3829999999999999,0.065
5,dropout_0.2,0.4385,0.401,0.03749999999999998
5,dropout_0.3,0.4495,0.417,0.03250000000000003
5,dropout_0.5,0.4539999999999999,0.428,0.025999999999999912
5,clean,0.4800000000000001,0.4,0.08000000000000007
5,motor_core,0.62,0.5599999999999999,0.06000000000000005
5,motor_extended,0.5700000000000001,0.5599999999999999,0.01000000000000012
5,region_midline_motor_strip,0.415,0.35,0.065
5,region_left_motor_strip,0.36,0.35,0.010000000000000009
5,region_right_motor_strip,0.5900000000000001,0.44,0.15000000000000008
6,dropout_0.1,0.4479999999999999,0.539,-0.09100000000000014
6,dropout_0.2,0.423,0.525,-0.10200000000000004
6,dropout_0.3,0.446,0.512,-0.066
6,dropout_0.5,0.439,0.512,-0.07300000000000001
6,clean,0.48,0.63,-0.15000000000000002
6,motor_core,0.42,0.4199999999999999,1.1102230246251565e-16
6,motor_extended,0.55,0.4599999999999999,0.09000000000000014
6,region_midline_motor_strip,0.5399999999999999,0.5599999999999999,-0.020000000000000018
6,region_left_motor_strip,0.44,0.5,-0.06
6,region_right_motor_strip,0.44,0.4899999999999999,-0.04999999999999988
7,dropout_0.1,0.8905,0.999,-0.10850000000000004
7,dropout_0.2,0.768,0.989,-0.22099999999999997
7,dropout_0.3,0.675,0.976,-0.30099999999999993
7,dropout_0.5,0.6559999999999999,0.863,-0.20700000000000007
7,clean,1.0,1.0,0.0
7,motor_core,0.96,0.96,0.0
7,motor_extended,1.0,1.0,0.0
7,region_midline_motor_strip,0.94,1.0,-0.06000000000000005
7,region_left_motor_strip,0.99,1.0,-0.010000000000000009
7,region_right_motor_strip,0.96,0.98,-0.020000000000000018
8,dropout_0.1,0.5505,0.5379999999999999,0.012500000000000067
8,dropout_0.2,0.46,0.489,-0.02899999999999997
8,dropout_0.3,0.4675,0.467,0.0005000000000000004
8,dropout_0.5,0.493,0.3979999999999999,0.09500000000000008
8,clean,0.65,0.6599999999999999,-0.009999999999999898
8,motor_core,0.7,0.67,0.029999999999999916
8,motor_extended,0.8,0.77,0.030000000000000027
8,region_midline_motor_strip,0.55,0.62,-0.06999999999999995
8,region_left_motor_strip,0.52,0.58,-0.05999999999999994
8,region_right_motor_strip,0.575,0.52,0.05499999999999994
9,dropout_0.1,0.3495,0.4379999999999999,-0.08849999999999991
9,dropout_0.2,0.457,0.421,0.03600000000000003
9,dropout_0.3,0.4919999999999999,0.4369999999999999,0.05499999999999999
9,dropout_0.5,0.4965,0.4269999999999999,0.06950000000000012
9,clean,0.24,0.47,-0.22999999999999998
9,motor_core,0.6799999999999999,0.68,-1.1102230246251565e-16
9,motor_extended,0.7,0.6300000000000001,0.06999999999999984
9,region_midline_motor_strip,0.465,0.44,0.025000000000000022
9,region_left_motor_strip,0.3299999999999999,0.39,-0.06000000000000011
9,region_right_motor_strip,0.3099999999999999,0.41,-0.10000000000000009
10,dropout_0.1,0.5870000000000001,0.537,0.050000000000000044
10,dropout_0.2,0.596,0.506,0.08999999999999997
10,dropout_0.3,0.53,0.5,0.030000000000000027
10,dropout_0.5,0.534,0.482,0.052000000000000046
10,clean,0.71,0.58,0.13
10,motor_core,0.73,0.79,-0.06000000000000005
10,motor_extended,0.93,0.8800000000000001,0.04999999999999993
10,region_midline_motor_strip,0.63,0.47,0.16000000000000003
10,region_left_motor_strip,0.63,0.5700000000000001,0.05999999999999994
10,region_right_motor_strip,0.53,0.42,0.11000000000000004
11,dropout_0.1,0.631,0.6990000000000001,-0.06800000000000006
11,dropout_0.2,0.5920000000000001,0.632,-0.039999999999999925
11,dropout_0.3,0.626,0.61,0.016000000000000014
11,dropout_0.5,0.509,0.514,-0.0050000000000000044
11,clean,0.63,0.74,-0.10999999999999999
11,motor_core,0.4699999999999999,0.4699999999999999,0.0
11,motor_extended,0.39,0.44,-0.04999999999999999
11,region_midline_motor_strip,0.6300000000000001,0.76,-0.1299999999999999
11,region_left_motor_strip,0.66,0.8099999999999999,-0.1499999999999999
11,region_right_motor_strip,0.7,0.73,-0.030000000000000027
12,dropout_0.1,0.407,0.772,-0.36500000000000005
12,dropout_0.2,0.422,0.742,-0.32
12,dropout_0.3,0.3879999999999999,0.7390000000000001,-0.3510000000000002
12,dropout_0.5,0.439,0.7140000000000001,-0.2750000000000001
12,clean,0.42,0.8,-0.38000000000000006
12,motor_core,0.64,0.62,0.020000000000000018
12,motor_extended,0.6799999999999999,0.78,-0.10000000000000009
12,region_midline_motor_strip,0.4,0.79,-0.39
12,region_left_motor_strip,0.4599999999999999,0.75,-0.2900000000000001
